traditional,simplified,pinyin,translation_1,translation_2,translation_3,translation_4,translation_5,translation_6,translation_7,translation_8,translation_9,translation_10,translation_11,translation_12,translation_13,translation_14,translation_15,translation_16,translation_17,translation_18
碎石,碎石,sui4 shi2],crushed or broken rock stone etc,,,,,,,,,,,,,,,,,
碎碎念,碎碎念,sui4 sui4 nian4],to sound like a broken record,to prattle,to nag,to mutter,,,,,,,,,,,,,,
碎紙機,碎纸机,sui4 zhi3 ji1],paper shredder,,,,,,,,,,,,,,,,,
碎肉,碎肉,sui4 rou4],ground meat,mincemeat,,,,,,,,,,,,,,,,
碎裂,碎裂,sui4 lie4],to disintegrate,to shatter into small pieces,,,,,,,,,,,,,,,,
碎鑽,碎钻,sui4 zuan4],small diamonds,melee (small diamonds used in embellishing mountings for larger gems),splints (sharp-pointed diamond splinters),clatersal (small diamond splints from which diamond powder is produced by crushing),,,,,,,,,,,,,,
碏,碏,que4],(gems),,,,,,,,,,,,,,,,,
碑,碑,bei1],a monument,an upright stone tablet,stele,CL:塊|块[kuai4]面[mian4],,,,,,,,,,,,,,
碑亭,碑亭,bei1 ting2],pavilion housing a stele,,,,,,,,,,,,,,,,,
碑刻,碑刻,bei1 ke4],inscription on stone tablet,,,,,,,,,,,,,,,,,
碑帖,碑帖,bei1 tie4],a rubbing from a stone inscription,,,,,,,,,,,,,,,,,
碑座,碑座,bei1 zuo4],pedestal for stone tablet,,,,,,,,,,,,,,,,,
碑座兒,碑座儿,bei1 zuo4 r5],erhua variant of 碑座[bei1 zuo4],,,,,,,,,,,,,,,,,
碑文,碑文,bei1 wen2],inscription on a tablet,,,,,,,,,,,,,,,,,
碑林,碑林,Bei1 lin2],Forest of Steles (museum in Xi'an),Beilin District of Xi’an 西安市[Xi1 an1 Shi4] Shaanxi,,,,,,,,,,,,,,,,
碑林區,碑林区,Bei1 lin2 Qu1],Beilin District of Xi’an 西安市[Xi1 an1 Shi4] Shaanxi,,,,,,,,,,,,,,,,,
碑珓,碑珓,bei1 jiao4],see 杯珓[bei1 jiao4],,,,,,,,,,,,,,,,,
碑石,碑石,bei1 shi2],stele,vertical stone tablet for carved inscriptions,,,,,,,,,,,,,,,,
碑碣,碑碣,bei1 jie2],stone tablet (with inscription),,,,,,,,,,,,,,,,,
碑記,碑记,bei1 ji4],a record of events inscribed on a tablet,,,,,,,,,,,,,,,,,
碑誌,碑志,bei1 zhi4],historical record inscribed on tablet,,,,,,,,,,,,,,,,,
碑銘,碑铭,bei1 ming2],inscription on stone tablet,,,,,,,,,,,,,,,,,
碑額,碑额,bei1 e2],the top part of a tablet,,,,,,,,,,,,,,,,,
碓,碓,dui4],pestle,pound with a pestle,,,,,,,,,,,,,,,,
碔,碔,wu3],inferior gem,a kind of jade,,,,,,,,,,,,,,,,
碗,碗,wan3],bowl,cup,CL:隻|只[zhi1]個|个[ge4],,,,,,,,,,,,,,,
碗櫃,碗柜,wan3 gui4],cupboard,,,,,,,,,,,,,,,,,
碘,碘,dian3],iodine (chemistry),,,,,,,,,,,,,,,,,
碘化鈉,碘化钠,dian3 hua4 na4],sodium iodide NaI,,,,,,,,,,,,,,,,,
碘化鉀,碘化钾,dian3 hua4 jia3],potassium iodide,,,,,,,,,,,,,,,,,
碘化銀,碘化银,dian3 hua4 yin2],silver iodide,,,,,,,,,,,,,,,,,
碘酸,碘酸,dian3 suan1],iodic acid,,,,,,,,,,,,,,,,,
碚,碚,bei4],(used in place names),,,,,,,,,,,,,,,,,
碝,碝,ruan3],jade-like stone,,,,,,,,,,,,,,,,,
碞,碞,yan2],cliff,,,,,,,,,,,,,,,,,
碟,碟,die2],dish,plate,,,,,,,,,,,,,,,,
碟仙,碟仙,die2 xian1],form of divination similar to the Ouija board in which participants use their forefingers to push a small saucer over a sheet of paper inscribed with numerous Chinese characters,,,,,,,,,,,,,,,,,
碟子,碟子,die2 zi5],saucer,small dish,CL:盤|盘[pan2],,,,,,,,,,,,,,,
碟片,碟片,die2 pian4],disc,CL:張|张[zhang1],,,,,,,,,,,,,,,,
碡,碡,zhou2],stone roller (for threshing grain leveling ground etc),Taiwan pr. [du2],,,,,,,,,,,,,,,,
碣,碣,jie2],stone tablet,,,,,,,,,,,,,,,,,
碧,碧,bi4],green jade,bluish green,blue,jade,,,,,,,,,,,,,,
碧土,碧土,Bi4 tu3],Putog former county 1983-1999 in Zogang county 左貢縣|左贡县[Zuo3 gong4 xian4] Chamdo prefecture Tibet,,,,,,,,,,,,,,,,,
碧土縣,碧土县,Bi4 tu3 xian4],Putog former county 1983-1999 in Zogang county 左貢縣|左贡县[Zuo3 gong4 xian4] Chamdo prefecture Tibet,,,,,,,,,,,,,,,,,
碧昂絲,碧昂丝,Bi4 ang2 si1],Beyoncé (1981-) American pop singer,,,,,,,,,,,,,,,,,
碧歐泉,碧欧泉,Bi4 ou1 quan2],Biotherm (brand name),,,,,,,,,,,,,,,,,
碧池,碧池,bi4 chi2],bitch (loanword) (Internet slang),clear water pond,,,,,,,,,,,,,,,,
碧海青天,碧海青天,bi4 hai3 qing1 tian1],green sea blue sky (idiom); sea and sky merge in one shade,loneliness of faithful widow,,,,,,,,,,,,,,,,
碧潭,碧潭,Bi4 tan2],Bitan or Green Pool on Xindian Creek 新店溪[Xin1 dian4 xi1] Taipei county Taiwan,,,,,,,,,,,,,,,,,
碧潭,碧潭,bi4 tan2],green pool,,,,,,,,,,,,,,,,,
碧玉,碧玉,bi4 yu4],jasper,,,,,,,,,,,,,,,,,
碧璽,碧玺,bi4 xi3],tourmaline,,,,,,,,,,,,,,,,,
碧瓦,碧瓦,bi4 wa3],green,glazed tile,,,,,,,,,,,,,,,,
碧眼,碧眼,bi4 yan3],blue eyes,,,,,,,,,,,,,,,,,
碧空,碧空,bi4 kong1],the blue sky,,,,,,,,,,,,,,,,,
碧綠,碧绿,bi4 lu:4],dark green,,,,,,,,,,,,,,,,,
碧草如茵,碧草如茵,bi4 cao3 ru2 yin1],green grass like cushion (idiom); green meadow so inviting to sleep on,,,,,,,,,,,,,,,,,
碧藍,碧蓝,bi4 lan2],dark blue,,,,,,,,,,,,,,,,,
碧螺春,碧螺春,bi4 luo2 chun1],biluochun or pi lo chun a type of green tea grown in the Dongting Mountain region near Lake Tai 太湖[Tai4 Hu2] Jiangsu,,,,,,,,,,,,,,,,,
碧血,碧血,bi4 xue4],blood shed in a just cause,,,,,,,,,,,,,,,,,
碩,硕,shuo4],large,big,,,,,,,,,,,,,,,,
碩士,硕士,shuo4 shi4],master's degree,person who has a master's degree,learned person,,,,,,,,,,,,,,,
碩士學位,硕士学位,shuo4 shi4 xue2 wei4],master's degree,,,,,,,,,,,,,,,,,
碩士生,硕士生,shuo4 shi4 sheng1],Master's degree student,,,,,,,,,,,,,,,,,
碩大,硕大,shuo4 da4],big,huge,massive,,,,,,,,,,,,,,,
碩大無朋,硕大无朋,shuo4 da4 wu2 peng2],immense,enormous,,,,,,,,,,,,,,,,
碩果,硕果,shuo4 guo3],major achievement,great work,triumphant success,,,,,,,,,,,,,,,
碩果僅存,硕果仅存,shuo4 guo3 jin3 cun2],only remaining of the great (idiom); one of the few greats extant,,,,,,,,,,,,,,,,,
碩果累累,硕果累累,shuo4 guo3 lei3 lei3],heavily laden with fruit,fertile (of trees),many noteworthy achievements,,,,,,,,,,,,,,,
碩麗,硕丽,shuo4 li4],large and beautiful,,,,,,,,,,,,,,,,,
碪,砧,zhen1],variant of 砧[zhen1],,,,,,,,,,,,,,,,,
碫,碫,duan4],coarse stone (used for whetstone),,,,,,,,,,,,,,,,,
碬,碬,xia2],whetstone,,,,,,,,,,,,,,,,,
碭,砀,dang4],stone with color veins,,,,,,,,,,,,,,,,,
碭山,砀山,Dang4 shan1],Dangshan county in Suzhou 宿州[Su4 zhou1] Anhui,,,,,,,,,,,,,,,,,
碭山縣,砀山县,Dang4 shan1 xian4],Dangshan county in Suzhou 宿州[Su4 zhou1] Anhui,,,,,,,,,,,,,,,,,
碯,碯,nao3],variant of 瑙[nao3],agate,,,,,,,,,,,,,,,,
碰,碰,peng4],to touch,to meet with,to bump,,,,,,,,,,,,,,,
碰一鼻子灰,碰一鼻子灰,peng4 yi1 bi2 zi5 hui1],lit. to have one's nose rubbed in the dirt,fig. to meet with a sharp rebuff,,,,,,,,,,,,,,,,
碰上,碰上,peng4 shang4],to run into,to come upon,to meet,,,,,,,,,,,,,,,
碰倒,碰倒,peng4 dao3],to knock sth over,,,,,,,,,,,,,,,,,
碰到,碰到,peng4 dao4],to come across,to run into,to meet,to hit,,,,,,,,,,,,,,
碰壁,碰壁,peng4 bi4],to hit a wall,fig. to run up against a snag,,,,,,,,,,,,,,,,
碰巧,碰巧,peng4 qiao3],by chance,by coincidence,to happen to,,,,,,,,,,,,,,,
碰損,碰损,peng4 sun3],bruising (damage to soft fruit etc),,,,,,,,,,,,,,,,,
碰撞,碰撞,peng4 zhuang4],to collide,collision,,,,,,,,,,,,,,,,
碰撞造山,碰撞造山,peng4 zhuang4 zao4 shan1],collisional orogeny,mountain building as a result of continents colliding,,,,,,,,,,,,,,,,
碰擊,碰击,peng4 ji1],to knock against,to knock together,to rattle,,,,,,,,,,,,,,,
碰瓷,碰瓷,peng4 ci2],a currently widespread fraud in PRC involving deliberately crashing cars then demanding compensation,,,,,,,,,,,,,,,,,
碰瓷兒,碰瓷儿,peng4 ci2 r5],erhua variant of 碰瓷|碰瓷[peng4 ci2],,,,,,,,,,,,,,,,,
碰碰車,碰碰车,peng4 peng4 che1],bumper car,,,,,,,,,,,,,,,,,
碰磁,碰磁,peng4 ci2],variant of 碰瓷|碰瓷[peng4 ci2],,,,,,,,,,,,,,,,,
碰見,碰见,peng4 jian4],to run into,to meet (unexpectedly),to bump into,,,,,,,,,,,,,,,
碰觸,碰触,peng4 chu4],to touch,,,,,,,,,,,,,,,,,
碰運氣,碰运气,peng4 yun4 qi5],to try one's luck,to leave sth to chance,,,,,,,,,,,,,,,,
碰釘子,碰钉子,peng4 ding1 zi5],to meet with a rebuff,,,,,,,,,,,,,,,,,
碰面,碰面,peng4 mian4],to meet,to run into (sb),to get together (with sb),,,,,,,,,,,,,,,
碰頭,碰头,peng4 tou2],to meet,to hold a meeting,,,,,,,,,,,,,,,,
碲,碲,di4],tellurium (chemistry),,,,,,,,,,,,,,,,,
碳,碳,tan4],carbon (chemistry),,,,,,,,,,,,,,,,,
碳化,碳化,tan4 hua4],to carbonize,dry distillation,carbonization,,,,,,,,,,,,,,,
碳化氫,碳化氢,tan4 hua4 qing1],hydrocarbon,same as 烴|烃[ting1],,,,,,,,,,,,,,,,
碳化物,碳化物,tan4 hua4 wu4],carbide,,,,,,,,,,,,,,,,,
碳化硅,碳化硅,tan4 hua4 gui1],silicon carbide,carborundum,,,,,,,,,,,,,,,,
碳化鈣,碳化钙,tan4 hua4 gai4],calcium carbide CaC2,,,,,,,,,,,,,,,,,
碳匯,碳汇,tan4 hui4],carbon credits,,,,,,,,,,,,,,,,,
碳原子,碳原子,tan4 yuan2 zi3],carbon atom,,,,,,,,,,,,,,,,,
碳氫化合物,碳氢化合物,tan4 qing1 hua4 he2 wu4],hydrocarbon,,,,,,,,,,,,,,,,,
碳水化合物,碳水化合物,tan4 shui3 hua4 he2 wu4],carbohydrate,,,,,,,,,,,,,,,,,
碳減排,碳减排,tan4 jian3 pai2],to reduce carbon emissions,,,,,,,,,,,,,,,,,
碳粉,碳粉,tan4 fen3],toner (laser printing),,,,,,,,,,,,,,,,,
碳足印,碳足印,tan4 zu2 yin4],carbon footprint,,,,,,,,,,,,,,,,,
碳酰氯,碳酰氯,tan4 xian1 lu:4],carbonyl chloride COCl2,phosgene a poisonous gas,,,,,,,,,,,,,,,,
碳酸,碳酸,tan4 suan1],carbonic acid,carbonate,,,,,,,,,,,,,,,,
碳酸岩,碳酸岩,tan4 suan1 yan2],carbonate rock (geology),,,,,,,,,,,,,,,,,
碳酸氫鈉,碳酸氢钠,tan4 suan1 qing1 na4],sodium bicarbonate,,,,,,,,,,,,,,,,,
碳酸鈉,碳酸钠,tan4 suan1 na4],soda,sodium carbonate (chemistry),,,,,,,,,,,,,,,,
碳酸鈣,碳酸钙,tan4 suan1 gai4],calcium carbonate,,,,,,,,,,,,,,,,,
碳酸鉀,碳酸钾,tan4 suan1 jia3],potassium carbonate,,,,,,,,,,,,,,,,,
碳酸鹽,碳酸盐,tan4 suan1 yan2],carbonate salt (chemistry),,,,,,,,,,,,,,,,,
碳鏈,碳链,tan4 lian4],carbon chain,,,,,,,,,,,,,,,,,
碳鏈纖維,碳链纤维,tan4 lian4 xian1 wei2],carbon chain fiber,,,,,,,,,,,,,,,,,
碳隔離,碳隔离,tan4 ge2 li2],carbon sequestration,,,,,,,,,,,,,,,,,
碳黑,碳黑,tan4 hei1],soot,carbon black,,,,,,,,,,,,,,,,
碴,碴,cha2],fault,glass fragment,quarrel,,,,,,,,,,,,,,,
碸,砜,feng1],sulfone,,,,,,,,,,,,,,,,,
確,确,que4],authenticated,solid,firm,real,TRUE,,,,,,,,,,,,,
確乎,确乎,que4 hu1],for sure,,,,,,,,,,,,,,,,,
確保,确保,que4 bao3],to ensure,to guarantee,,,,,,,,,,,,,,,,
確信,确信,que4 xin4],to be convinced,to be sure,to firmly believe,to be positive that,definite news,,,,,,,,,,,,,
確切,确切,que4 qie4],definite,exact,precise,,,,,,,,,,,,,,,
確定,确定,que4 ding4],definite,certain,fixed,to fix (on sth),to determine,to be sure,to ensure,to make certain,to ascertain,to clinch,to recognize,to confirm,OK (on computer dialog box),,,,,
確定性,确定性,que4 ding4 xing4],determinacy,,,,,,,,,,,,,,,,,
確定效應,确定效应,que4 ding4 xiao4 ying4],deterministic effect,,,,,,,,,,,,,,,,,
確實,确实,que4 shi2],indeed,really,reliable,real,TRUE,,,,,,,,,,,,,
確山,确山,Que4 shan1],Queshan county in Zhumadian 駐馬店|驻马店[Zhu4 ma3 dian4] Henan,,,,,,,,,,,,,,,,,
確山縣,确山县,Que4 shan1 xian4],Queshan county in Zhumadian 駐馬店|驻马店[Zhu4 ma3 dian4] Henan,,,,,,,,,,,,,,,,,
確是,确是,que4 shi4],certainly,,,,,,,,,,,,,,,,,
確有其事,确有其事,que4 you3 qi2 shi4],(confirm to be) true,authentic,,,,,,,,,,,,,,,,
確立,确立,que4 li4],to establish,to institute,,,,,,,,,,,,,,,,
確診,确诊,que4 zhen3],to make a definite diagnosis,,,,,,,,,,,,,,,,,
確認,确认,que4 ren4],to confirm,to verify,confirmation,,,,,,,,,,,,,,,
確證,确证,que4 zheng4],to prove,to confirm,to corroborate,convincing proof,,,,,,,,,,,,,,
確鑿,确凿,que4 zao2],definite,conclusive,undeniable,authentic,also pr. [que4 zuo4],,,,,,,,,,,,,
確鑿不移,确凿不移,que4 zao2 bu4 yi2],established and irrefutable (idiom),,,,,,,,,,,,,,,,,
碻,碻,que4],solid,firm,,,,,,,,,,,,,,,,
碼,码,ma3],weight,number,code,to pile,to stack,classifier for length or distance (yard) happenings etc,,,,,,,,,,,,
碼分多址,码分多址,Ma3 Fen1 Duo1 Zhi3],Code Division Multiple Access (CDMA) (telecommunications),,,,,,,,,,,,,,,,,
碼子,码子,ma3 zi5],number (e.g. page or house number),numeral (e.g. Arabic or Chinese numeral),code sign,plus or minus sound,counter,chip (e.g. in gambling games),price tag,ready cash at one's disposal (old),,,,,,,,,,
碼字,码字,ma3 zi4],numeral,digit,counter,,,,,,,,,,,,,,,
碼放,码放,ma3 fang4],to pile up,to stack up,,,,,,,,,,,,,,,,
碼線,码线,ma3 xian4],yard line (sports),,,,,,,,,,,,,,,,,
碼表,码表,ma3 biao3],dial or meter for displaying speed time or other measurements,cyclocomputer,code table (computing),,,,,,,,,,,,,,,
碼農,码农,ma3 nong2],menial programmer (computing),,,,,,,,,,,,,,,,,
碼長城,码长城,ma3 Chang2 cheng2],(coll.) to play mahjong,,,,,,,,,,,,,,,,,
碼頭,码头,ma3 tou2],dock,pier,wharf,CL:個|个[ge4],,,,,,,,,,,,,,
碾,碾,nian3],stone roller,roller and millstone,to grind,to crush,to husk,,,,,,,,,,,,,
碾坊,碾坊,nian3 fang2],grain mill,,,,,,,,,,,,,,,,,
碾場,碾场,nian3 chang2],to thresh or husk grain on a threshing ground (dialect),,,,,,,,,,,,,,,,,
碾壓,碾压,nian3 ya1],to crush or compact by means of a roller,,,,,,,,,,,,,,,,,
碾子,碾子,nian3 zi5],roller (used for milling or crushing),,,,,,,,,,,,,,,,,
碾子山,碾子山,Nian3 zi5 shan1],Nianzishan district of Qiqihar city 齊齊哈爾|齐齐哈尔[Qi2 qi2 ha1 er3] Heilongjiang,,,,,,,,,,,,,,,,,
碾子山區,碾子山区,Nian3 zi5 shan1 qu1],Nianzishan district of Qiqihar city 齊齊哈爾|齐齐哈尔[Qi2 qi2 ha1 er3] Heilongjiang,,,,,,,,,,,,,,,,,
碾槌,碾槌,nian3 chui2],pestle,,,,,,,,,,,,,,,,,
碾盤,碾盘,nian3 pan2],millstone,,,,,,,,,,,,,,,,,
碾砣,碾砣,nian3 tuo2],roller,,,,,,,,,,,,,,,,,
碾碎,碾碎,nian3 sui4],to pulverize,to crush,,,,,,,,,,,,,,,,
碾磨,碾磨,nian3 mo2],to mill,to grind,grinding stone,,,,,,,,,,,,,,,
碾米機,碾米机,nian3 mi3 ji1],rice milling machine,,,,,,,,,,,,,,,,,
碾過,碾过,nian3 guo4],to crush sth by running over it,,,,,,,,,,,,,,,,,
磁,磁,ci2],magnetic,magnetism,porcelain,,,,,,,,,,,,,,,
磁共振,磁共振,ci2 gong4 zhen4],magnetic resonance,,,,,,,,,,,,,,,,,
磁共振成像,磁共振成像,ci2 gong4 zhen4 cheng2 xiang4],magnetic resonance imaging MRI,,,,,,,,,,,,,,,,,
磁力,磁力,ci2 li4],magnetic force,magnetic,,,,,,,,,,,,,,,,
磁力線,磁力线,ci2 li4 xian4],line of magnetic flux,,,,,,,,,,,,,,,,,
磁力鎖,磁力锁,ci2 li4 suo3],magnetic lock,,,,,,,,,,,,,,,,,
磁動勢,磁动势,ci2 dong4 shi4],magnetomotive force,,,,,,,,,,,,,,,,,
磁化,磁化,ci2 hua4],to magnetize,,,,,,,,,,,,,,,,,
磁卡,磁卡,ci2 ka3],magnetic card,IC Card (telephone),,,,,,,,,,,,,,,,
磁單極子,磁单极子,ci2 dan1 ji2 zi3],magnetic monopole,,,,,,,,,,,,,,,,,
磁器,磁器,ci2 qi4],variant of 瓷器[ci2 qi4],,,,,,,,,,,,,,,,,
磁場,磁场,ci2 chang3],magnetic field,,,,,,,,,,,,,,,,,
磁層,磁层,ci2 ceng2],magnetosphere,magnetic layer,,,,,,,,,,,,,,,,
磁帶,磁带,ci2 dai4],magnetic tape,CL:盤|盘[pan2]盒[he2],,,,,,,,,,,,,,,,
磁帶機,磁带机,ci2 dai4 ji1],tape drive,,,,,,,,,,,,,,,,,
磁性,磁性,ci2 xing4],magnetic,magnetism,,,,,,,,,,,,,,,,
磁感應,磁感应,ci2 gan3 ying4],magnetic induction,,,,,,,,,,,,,,,,,
磁感應強度,磁感应强度,ci2 gan3 ying4 qiang2 du4],magnetic field density,,,,,,,,,,,,,,,,,
磁感線,磁感线,ci2 gan3 xian4],line of magnetic flux,,,,,,,,,,,,,,,,,
磁懸浮,磁悬浮,ci2 xuan2 fu2],magnetic levitation (train),maglev,,,,,,,,,,,,,,,,
磁控管,磁控管,ci2 kong4 guan3],cavity magnetron (used to produce microwaves),,,,,,,,,,,,,,,,,
磁條,磁条,ci2 tiao2],magnetic stripe card,,,,,,,,,,,,,,,,,
磁極,磁极,ci2 ji2],magnetic pole,,,,,,,,,,,,,,,,,
磁氣圈,磁气圈,ci2 qi4 quan1],magnetosphere,,,,,,,,,,,,,,,,,
磁浮,磁浮,ci2 fu2],maglev (type of train),magnetic levitation,,,,,,,,,,,,,,,,
磁片,磁片,ci2 pian4],magnetic disk,,,,,,,,,,,,,,,,,
磁異常,磁异常,ci2 yi4 chang2],magnetic anomaly (geology),,,,,,,,,,,,,,,,,
磁盤,磁盘,ci2 pan2],(computer) disk,,,,,,,,,,,,,,,,,
磁盤驅動器,磁盘驱动器,ci2 pan2 qu1 dong4 qi4],disk drive,,,,,,,,,,,,,,,,,
磁矩,磁矩,ci2 ju3],magnetic moment,,,,,,,,,,,,,,,,,
磁石,磁石,ci2 shi2],magnet,,,,,,,,,,,,,,,,,
磁碟,磁碟,ci2 die2],(magnetic) computer disk (hard disk or floppy),,,,,,,,,,,,,,,,,
磁碟機,磁碟机,ci2 die2 ji1],disk drive (computing),drive (computing),,,,,,,,,,,,,,,,
磁縣,磁县,Ci2 xian4],Ci county in Handan 邯鄲|邯郸[Han2 dan1] Hebei,,,,,,,,,,,,,,,,,
磁通量,磁通量,ci2 tong1 liang4],magnetic flux,,,,,,,,,,,,,,,,,
磁釘,磁钉,ci2 ding1],button magnet (to use on whiteboards refrigerator doors etc),,,,,,,,,,,,,,,,,
磁鏈,磁链,ci2 lian4],flux linkage,,,,,,,,,,,,,,,,,
磁鐵,磁铁,ci2 tie3],magnet,,,,,,,,,,,,,,,,,
磁鐵礦,磁铁矿,ci2 tie3 kuang4],magnetite Fe3O4,,,,,,,,,,,,,,,,,
磁阻,磁阻,ci2 zu3],magnetic reluctance,,,,,,,,,,,,,,,,,
磁頭,磁头,ci2 tou2],magnetic head (of a tape recorder etc),,,,,,,,,,,,,,,,,
磁體,磁体,ci2 ti3],magnet,magnetic body,,,,,,,,,,,,,,,,
磅,磅,bang4],see 磅秤 scale,platform balance,(loanword) pound (unit of weight about 454 grams),,,,,,,,,,,,,,,
磅礡,磅礴,pang2 bo2],majestic,boundless,,,,,,,,,,,,,,,,
磅秤,磅秤,bang4 cheng4],scale,platform balance,,,,,,,,,,,,,,,,
磈,磈,wei3],rocky,stony,,,,,,,,,,,,,,,,
磉,磉,sang3],stone plinth,,,,,,,,,,,,,,,,,
磊,磊,lei3],lumpy,rock pile,uneven,fig. sincere,open and honest,,,,,,,,,,,,,
磊磊,磊磊,lei3 lei3],big pile of rocks,big hearted,open and honest,,,,,,,,,,,,,,,
磊落,磊落,lei3 luo4],big and stout,big-hearted,open and honest,continuous,repeated,,,,,,,,,,,,,
磊落大方,磊落大方,lei3 luo4 da4 fang1],to be generous in the extreme (idiom),,,,,,,,,,,,,,,,,
磋,磋,cuo1],deliberate,to polish,,,,,,,,,,,,,,,,
磋商,磋商,cuo1 shang1],to consult,to discuss seriously,to negotiate,to confer,negotiations,consultations,,,,,,,,,,,,
磎,磎,xi1],mountain stream,creek,,,,,,,,,,,,,,,,
磐,磐,pan2],firm,stable,rock,,,,,,,,,,,,,,,
磐安,磐安,Pan2 an1],Pan'an county in Jinhua 金華|金华[Jin1 hua2] Zhejiang,,,,,,,,,,,,,,,,,
磐安縣,磐安县,Pan2 an1 xian4],Pan'an county in Jinhua 金華|金华[Jin1 hua2] Zhejiang,,,,,,,,,,,,,,,,,
磐石,磐石,Pan2 shi2],Panshi county level city in Jilin prefecture 吉林 Jilin province,,,,,,,,,,,,,,,,,
磐石,磐石,pan2 shi2],boulder,,,,,,,,,,,,,,,,,
磐石市,磐石市,Pan2 shi2 shi4],Panshi county level city in Jilin prefecture 吉林 Jilin province,,,,,,,,,,,,,,,,,
磐石縣,磐石县,Pan2 shi2 xian4],Panshi county in Jilin,,,,,,,,,,,,,,,,,
磑,硙,ai2],snowy white,pure white,spotless,,,,,,,,,,,,,,,
磑,硙,wei2],see 磑磑|硙硙[wei2 wei2],,,,,,,,,,,,,,,,,
磑,硙,wei4],mill,,,,,,,,,,,,,,,,,
磑磑,硙硙,ai2 ai2],variant of 皚皚|皑皑[ai2 ai2],,,,,,,,,,,,,,,,,
磑磑,硙硙,wei2 wei2],of high and stable appearance,,,,,,,,,,,,,,,,,
磔,磔,zhe2],tearing off limbs as punishment,,,,,,,,,,,,,,,,,
磕,磕,ke1],to tap,to knock (against sth hard),to knock (mud from boots ashes from a pipe etc),,,,,,,,,,,,,,,
磕,磕,ke4],variant of 嗑[ke4],,,,,,,,,,,,,,,,,
磕碰,磕碰,ke1 peng4],to knock against,to bump into,to have a disagreement,to clash,,,,,,,,,,,,,,
磕磕,磕磕,ke1 ke1],(onom.) knocking,,,,,,,,,,,,,,,,,
磕磕巴巴,磕磕巴巴,ke1 ke1 ba1 ba1],stammering,stuttering,not speaking fluently,,,,,,,,,,,,,,,
磕磕絆絆,磕磕绊绊,ke1 ke5 ban4 ban4],bumpy (of a road),limping (of a person),,,,,,,,,,,,,,,,
磕膝蓋,磕膝盖,ke1 xi1 gai4],(dialect) knee,,,,,,,,,,,,,,,,,
磕頭,磕头,ke1 tou2],to kowtow (traditional greeting esp. to a superior involving kneeling and pressing one's forehead to the ground),,,,,,,,,,,,,,,,,
磕頭如搗蒜,磕头如捣蒜,ke4 tou2 ru2 dao3 suan4],lit. to kowtow like grinding garlic (idiom),fig. to pound the ground with one's head,,,,,,,,,,,,,,,,
磖,磖,la2],old variant of 砬[la2],,,,,,,,,,,,,,,,,
磙,磙,gun3],roller,to level with a roller,,,,,,,,,,,,,,,,
磚,砖,zhuan1],brick,CL:塊|块[kuai4],,,,,,,,,,,,,,,,
磚塊,砖块,zhuan1 kuai4],brick,,,,,,,,,,,,,,,,,
磚瓦,砖瓦,zhuan1 wa3],tiles and bricks,,,,,,,,,,,,,,,,,
磚石,砖石,zhuan1 shi2],brick,,,,,,,,,,,,,,,,,
磚窯,砖窑,zhuan1 yao2],brick kiln,,,,,,,,,,,,,,,,,
磚窯場,砖窑场,zhuan1 yao2 chang3],brick kiln,,,,,,,,,,,,,,,,,
磚紅土,砖红土,zhuan1 hong2 tu3],red brick clay,,,,,,,,,,,,,,,,,
磚頭,砖头,zhuan1 tou5],brick,,,,,,,,,,,,,,,,,
磛,磛,chan2],cliff,peak,,,,,,,,,,,,,,,,
磟,碌,liu4],variant of 碌[liu4],,,,,,,,,,,,,,,,,
磠,磠,lu3],ammonium,,,,,,,,,,,,,,,,,
磡,磡,kan4],dangerous sea-cliff,,,,,,,,,,,,,,,,,
磣,碜,chen3],gritty (of food),unsightly,,,,,,,,,,,,,,,,
磤,磤,yin3],(onom.) sound of thunder,,,,,,,,,,,,,,,,,
磥,磥,lei3],a heap of stones,boulders,,,,,,,,,,,,,,,,
磧,碛,qi4],moraine,rocks in shallow water,,,,,,,,,,,,,,,,
磨,磨,mo2],to rub,to grind,to polish,to sharpen,to wear down,to die out,to waste time,to pester,to insist,,,,,,,,,
磨,磨,mo4],grindstone,to grind,to turn round,,,,,,,,,,,,,,,
磨不開,磨不开,mo4 bu4 kai1],to feel embarrassed,,,,,,,,,,,,,,,,,
磨人,磨人,mo2 ren2],annoying,bothersome,to fret,to be peevish,,,,,,,,,,,,,,
磨光,磨光,mo2 guang1],to polish,,,,,,,,,,,,,,,,,
磨刀,磨刀,mo2 dao1],to hone (a knife),,,,,,,,,,,,,,,,,
磨刀石,磨刀石,mo2 dao1 shi2],whetstone (for honing knives),,,,,,,,,,,,,,,,,
磨刀霍霍,磨刀霍霍,mo2 dao1 huo4 huo4],lit. to sharpen one's sword (idiom),fig. to prepare to attack,to be getting ready for battle,,,,,,,,,,,,,,,
磨叨,磨叨,mo4 dao5],to grumble,to chatter,,,,,,,,,,,,,,,,
磨合,磨合,mo2 he2],to break in,to wear in,,,,,,,,,,,,,,,,
磨唧,磨唧,mo2 ji1],to be very slow,to dawdle,,,,,,,,,,,,,,,,
磨嘰,磨叽,mo4 ji5],(dialect) to dawdle,to waste time,also written 墨跡|墨迹[mo4 ji5],,,,,,,,,,,,,,,
磨嘴,磨嘴,mo2 zui3],to argue pointlessly,to talk incessant nonsense,to blather,,,,,,,,,,,,,,,
