traditional,simplified,pinyin,translation_1,translation_2,translation_3,translation_4,translation_5,translation_6,translation_7,translation_8,translation_9,translation_10,translation_11,translation_12,translation_13,translation_14,translation_15,translation_16,translation_17,translation_18
田,田,tian2],field,farm,CL:片[pian4],,,,,,,,,,,,,,,
田七,田七,tian2 qi1],pseudo-ginseng,radix notoginseng,,,,,,,,,,,,,,,,
田中,田中,Tian2 zhong1],Tienchung town in Changhua county 彰化縣|彰化县[Zhang1 hua4 xian4] Taiwan,Tanaka (Japanese surname),,,,,,,,,,,,,,,,
田中角榮,田中角荣,Tian2 zhong1 Jiao3 rong2],Tanaka Kakuei (1918-1993) Japanese politician prime minister 1972-1974,,,,,,,,,,,,,,,,,
田中鎮,田中镇,Tian2 zhong1 zhen4],Tienchung town in Changhua county 彰化縣|彰化县[Zhang1 hua4 xian4] Taiwan,,,,,,,,,,,,,,,,,
田亮,田亮,Tian2 Liang4],Tian Liang (1979-) former male Chinese diver Olympic medalist,,,,,,,,,,,,,,,,,
田園,田园,tian2 yuan2],fields,countryside,rural,bucolic,,,,,,,,,,,,,,
田土,田土,tian2 tu3],farmland,,,,,,,,,,,,,,,,,
田地,田地,tian2 di4],field,farmland,cropland,plight,extent,,,,,,,,,,,,,
田埂,田埂,tian2 geng3],embankment or foothpath between paddy fields,,,,,,,,,,,,,,,,,
田家庵,田家庵,Tian2 jia1 an1],Tianji'an district of Huainan city 淮南市[Huai2 nan2 shi4] Anhui,,,,,,,,,,,,,,,,,
田家庵區,田家庵区,Tian2 jia1 an1 qu1],Tianji'an district of Huainan city 淮南市[Huai2 nan2 shi4] Anhui,,,,,,,,,,,,,,,,,
田寮,田寮,Tian2 liao2],Tianliao or Tienliao township in Kaohsiung county 高雄縣|高雄县[Gao1 xiong2 xian4] southwest Taiwan,,,,,,,,,,,,,,,,,
田寮鄉,田寮乡,Tian2 liao2 xiang1],Tianliao or Tienliao township in Kaohsiung county 高雄縣|高雄县[Gao1 xiong2 xian4] southwest Taiwan,,,,,,,,,,,,,,,,,
田尾,田尾,Tian2 wei3],Tienwei township in Changhua county 彰化縣|彰化县[Zhang1 hua4 xian4] Taiwan,,,,,,,,,,,,,,,,,
田尾鄉,田尾乡,Tian2 wei3 xiang1],Tienwei township in Changhua county 彰化縣|彰化县[Zhang1 hua4 xian4] Taiwan,,,,,,,,,,,,,,,,,
田役,田役,tian2 yi4],farm work,,,,,,,,,,,,,,,,,
田徑,田径,tian2 jing4],track and field (athletics),,,,,,,,,,,,,,,,,
田徑賽,田径赛,tian2 jing4 sai4],track and field competition,,,,,,,,,,,,,,,,,
田徑運動,田径运动,tian2 jing4 yun4 dong4],track and field sports,,,,,,,,,,,,,,,,,
田忌賽馬,田忌赛马,Tian2 Ji4 sai4 ma3],Tian Ji races his horses (and accepts one loss in order to ensure two wins) (idiom),,,,,,,,,,,,,,,,,
田文,田文,Tian2 wen2],birth name of Lord Menchang of Qi Chancellor of Qi and Wei during the Warring States Period (475-221 BC),,,,,,,,,,,,,,,,,
田村,田村,Tian2 cun1],Tamura (Japanese surname and place name),,,,,,,,,,,,,,,,,
田東,田东,Tian2 dong1],Tiandong county in Baise 百色[Bai3 se4] Guangxi,,,,,,,,,,,,,,,,,
田東縣,田东县,Tian2 dong1 xian4],Tiandong county in Baise 百色[Bai3 se4] Guangxi,,,,,,,,,,,,,,,,,
田林,田林,Tian2 lin2],Tianlin county in Baise 百色[Bai3 se4] Guangxi,,,,,,,,,,,,,,,,,
田林縣,田林县,Tian2 lin2 xian4],Tianlin county in Baise 百色[Bai3 se4] Guangxi,,,,,,,,,,,,,,,,,
田格本,田格本,tian2 ge2 ben3],exercise book for practicing Chinese character handwriting (each page being a grid of blank cells divided into quadrants like the character 田),,,,,,,,,,,,,,,,,
田漢,田汉,Tian2 Han4],Tian Han (1898-1968) author of the words of the PRC national anthem March of the Volunteer Army 義勇軍進行曲|义勇军进行曲,,,,,,,,,,,,,,,,,
