traditional,simplified,pinyin,translation_1,translation_2,translation_3,translation_4,translation_5,translation_6,translation_7,translation_8,translation_9,translation_10,translation_11,translation_12,translation_13,translation_14,translation_15,translation_16,translation_17,translation_18
偵測器,侦测器,zhen1 ce4 qi4],detector,,,,,,,,,,,,,,,,,
偵破,侦破,zhen1 po4],to investigate (as detective),to solve (crime),to uncover (a plot),to sniff out,to break in and analyze,detective work,to scout,,,,,,,,,,,
偵緝,侦缉,zhen1 ji1],to track down,to investigate and arrest,,,,,,,,,,,,,,,,
偵聽,侦听,zhen1 ting1],to eavesdrop,to tap (telephone conversations),to intercept and investigate,,,,,,,,,,,,,,,
偵訊,侦讯,zhen1 xun4],to interrogate during investigation,,,,,,,,,,,,,,,,,
偵辦,侦办,zhen1 ban4],to investigate (a crime) and prosecute,,,,,,,,,,,,,,,,,
偶,偶,ou3],accidental,image,pair,mate,,,,,,,,,,,,,,
偶一,偶一,ou3 yi1],accidentally,once in a while,very occasionally,,,,,,,,,,,,,,,
偶一為之,偶一为之,ou3 yi1 wei2 zhi1],to do sth once in a while (idiom),to do sth more as an exception than the rule,,,,,,,,,,,,,,,,
偶人,偶人,ou3 ren2],idol (i.e. statue for worship),,,,,,,,,,,,,,,,,
偶像,偶像,ou3 xiang4],idol,,,,,,,,,,,,,,,,,
偶像劇,偶像剧,ou3 xiang4 ju4],idol drama,drama series in which the actors are chosen for their pre-existing popularity with young viewers,,,,,,,,,,,,,,,,
偶函數,偶函数,ou3 han2 shu4],even function (math.),,,,,,,,,,,,,,,,,
偶合,偶合,ou3 he2],coincidence,,,,,,,,,,,,,,,,,
偶數,偶数,ou3 shu4],even number,,,,,,,,,,,,,,,,,
偶極,偶极,ou3 ji2],dipole (e.g. magnetic dipole),,,,,,,,,,,,,,,,,
偶然,偶然,ou3 ran2],incidentally,occasional,occasionally,by chance,randomly,,,,,,,,,,,,,
偶然事件,偶然事件,ou3 ran2 shi4 jian4],random accident,chance event,,,,,,,,,,,,,,,,
偶然性,偶然性,ou3 ran2 xing4],chance,fortuity,serendipity,,,,,,,,,,,,,,,
偶爾,偶尔,ou3 er3],occasionally,once in a while,sometimes,,,,,,,,,,,,,,,
偶犯,偶犯,ou3 fan4],casual offender,casual offense,,,,,,,,,,,,,,,,
偶而,偶而,ou3 er2],occasionally,once in a while,,,,,,,,,,,,,,,,
偶聯反應,偶联反应,ou3 lian2 fan3 ying4],chain reaction (chemistry),,,,,,,,,,,,,,,,,
偶見,偶见,ou3 jian4],to happen upon,to see incidentally,occasional,accidental,,,,,,,,,,,,,,
偶語棄市,偶语弃市,ou3 yu3 qi4 shi4],chance remarks can lead to public execution (idiom),,,,,,,,,,,,,,,,,
偶蹄,偶蹄,ou3 ti2],artiodactyl (zoology),,,,,,,,,,,,,,,,,
偶蹄目,偶蹄目,ou3 ti2 mu4],Artiodactyla (even-toed ungulates such as pigs cows giraffes etc),,,,,,,,,,,,,,,,,
偶蹄類,偶蹄类,ou3 ti2 lei4],Artiodactyla (even-toed ungulates such as pigs cows giraffes etc),,,,,,,,,,,,,,,,,
偶遇,偶遇,ou3 yu4],a chance encounter,to meet accidentally,,,,,,,,,,,,,,,,
偷,偷,tou1],to steal,to pilfer,to snatch,thief,stealthily,,,,,,,,,,,,,
偷偷,偷偷,tou1 tou1],stealthily,secretly,covertly,furtively,on the sly,,,,,,,,,,,,,
