反聘,反聘,fan3 pin4],to re-hire retired personnel,,,,,,,,,,,,,,,,,
反胃,反胃,fan3 wei4],retching,vomiting,,,,,,,,,,,,,,,,
反腐,反腐,fan3 fu3],anti-corruption,,,,,,,,,,,,,,,,,
反腐倡廉,反腐倡廉,fan3 fu3 chang4 lian2],to fight corruption and advocate probity,,,,,,,,,,,,,,,,,
反腐敗,反腐败,fan3 fu3 bai4],to oppose corruption,anti-graft (measures policy etc),,,,,,,,,,,,,,,,
反臉無情,反脸无情,fan3 lian3 wu2 qing2],to turn one's face against sb and show no mercy (idiom); to turn against a friend,,,,,,,,,,,,,,,,,
反興奮劑,反兴奋剂,fan3 xing1 fen4 ji4],anti-doping,anti-stimulant,policy against drugs in sports,,,,,,,,,,,,,,,
反艦導彈,反舰导弹,fan3 jian4 dao3 dan4],anti-ship missile,,,,,,,,,,,,,,,,,
反艦艇,反舰艇,fan3 jian4 ting3],anti-ship,,,,,,,,,,,,,,,,,
反艦艇巡航導彈,反舰艇巡航导弹,fan3 jian4 ting3 xun2 hang2 dao3 dan4],anti-ship cruise missile,,,,,,,,,,,,,,,,,
反芻,反刍,fan3 chu2],to ruminate,to chew the cud,,,,,,,,,,,,,,,,
反芻動物,反刍动物,fan3 chu2 dong4 wu4],ruminant,,,,,,,,,,,,,,,,,
反英,反英,fan3 Ying1],anti-English,,,,,,,,,,,,,,,,,
反英雄,反英雄,fan3 ying1 xiong2],antihero,,,,,,,,,,,,,,,,,
反華,反华,fan3 Hua2],anti-Chinese,,,,,,,,,,,,,,,,,
反衝,反冲,fan3 chong1],recoil (of a gun),to bounce back,backlash,,,,,,,,,,,,,,,
反衝力,反冲力,fan3 chong1 li4],backlash,recoil,reactive force,,,,,,,,,,,,,,,
反袁,反袁,fan3 Yuan2],opposing Yuan Shikai 袁世凱|袁世凯 in War of national protection 1915-1916,same as 反袁鬥爭|反袁斗争,,,,,,,,,,,,,,,,
反袁運動,反袁运动,fan3 Yuan2 yun4 dong4],opposing Yuan Shikai 袁世凱|袁世凯 in War of national protection 護國爭|护国争 1915-1916,same as 反袁鬥爭|反袁斗争,,,,,,,,,,,,,,,,
反袁鬥爭,反袁斗争,fan3 Yuan2 dou4 zheng1],war of 1915 against Yuan Shikai and for the Republic,,,,,,,,,,,,,,,,,
反裘負芻,反裘负刍,fan3 qiu2 fu4 chu2],lit. to wear one's coat inside out and carry firewood on one's back (idiom),fig. to live a life of poverty and hard work,fig. to act stupidly,,,,,,,,,,,,,,,
反覆,反复,fan3 fu4],repeatedly,over and over,to upend,unstable,to come and go,(of an illness) to return,,,,,,,,,,,,
反覆無常,反复无常,fan3 fu4 wu2 chang2],unstable,erratic,changeable,fickle,,,,,,,,,,,,,,
反觀,反观,fan3 guan1],by contrast,but as for this...,viewed from another angle,subjectively,introspection,,,,,,,,,,,,,
反角,反角,fan3 jiao3],reflex angle,,,,,,,,,,,,,,,,,
反角,反角,fan3 jue2],bad guy (in a story),villain,,,,,,,,,,,,,,,,
反訴,反诉,fan3 su4],counterclaim,countercharge (law),,,,,,,,,,,,,,,,
反訴狀,反诉状,fan3 su4 zhuang4],counterclaim,,,,,,,,,,,,,,,,,
反詩,反诗,fan3 shi1],verse criticizing officials,satirical verse,,,,,,,,,,,,,,,,
反詰,反诘,fan3 jie2],to ask (a question) in reply,to answer a question with a question,rhetorical question,,,,,,,,,,,,,,,
反詰問,反诘问,fan3 jie2 wen4],to cross-examine,,,,,,,,,,,,,,,,,
反話,反话,fan3 hua4],irony,ironic remark,,,,,,,,,,,,,,,,
反語,反语,fan3 yu3],irony,,,,,,,,,,,,,,,,,
反語法,反语法,fan3 yu3 fa3],irony,,,,,,,,,,,,,,,,,
反誣,反诬,fan3 wu1],to make a false countercharge,,,,,,,,,,,,,,,,,
反諷,反讽,fan3 feng3],irony,sarcasm,to satirize with opposites,,,,,,,,,,,,,,,
反證,反证,fan3 zheng4],disproof,rebuttal,reductio ad absurdum,,,,,,,,,,,,,,,
反證法,反证法,fan3 zheng4 fa3],reductio ad absurdum,,,,,,,,,,,,,,,,,
反貪,反贪,fan3 tan1],anti-corruption (policy),,,,,,,,,,,,,,,,,
反貪污,反贪污,fan3 tan1 wu1],anticorruption,,,,,,,,,,,,,,,,,
反貪腐,反贪腐,fan3 tan1 fu3],anti-corruption,,,,,,,,,,,,,,,,,
反赤道流,反赤道流,fan3 chi4 dao4 liu2],equatorial counter current,,,,,,,,,,,,,,,,,
反走私,反走私,fan3 zou3 si1],to oppose smuggling,anti-contraband (measures policy etc),,,,,,,,,,,,,,,,
反超,反超,fan3 chao1],to reverse (the score),to pull off a comeback,to take the lead,,,,,,,,,,,,,,,
反身,反身,fan3 shen1],to turn around,,,,,,,,,,,,,,,,,
反身代詞,反身代词,fan3 shen1 dai4 ci2],reflexive pronoun,,,,,,,,,,,,,,,,,
反躬自問,反躬自问,fan3 gong1 zi4 wen4],introspection,to ask oneself,,,,,,,,,,,,,,,,
反轉,反转,fan3 zhuan3],reversal,inversion,to reverse,to invert (upside down inside out back to front white to black etc),,,,,,,,,,,,,,
反轉選擇,反转选择,fan3 zhuan3 xuan3 ze2],to invert the selection (on computer),,,,,,,,,,,,,,,,,
反轉錄,反转录,fan3 zhuan3 lu4],reverse transcription,,,,,,,,,,,,,,,,,
反轉錄病毒,反转录病毒,fan3 zhuan3 lu4 bing4 du2],retrovirus,,,,,,,,,,,,,,,,,
反過來,反过来,fan3 guo5 lai2],conversely,in reverse order,in an opposite direction,,,,,,,,,,,,,,,
反過來說,反过来说,fan3 guo4 lai2 shuo1],on the other hand,,,,,,,,,,,,,,,,,
反酷刑折磨公約,反酷刑折磨公约,fan3 ku4 xing2 zhe2 mo2 gong1 yue1],UN convention against torture and cruel treatment (ratified by PRC in 1988),,,,,,,,,,,,,,,,,
反酸,反酸,fan3 suan1],acid reflux,regurgitation,,,,,,,,,,,,,,,,
反鋸齒,反锯齿,fan3 ju4 chi3],anti-aliasing,,,,,,,,,,,,,,,,,
反錄病毒,反录病毒,fan3 lu4 bing4 du2],reverse transcription virus,retrovirus,,,,,,,,,,,,,,,,
反鎖,反锁,fan3 suo3],locked in (with the door locked from the outside),,,,,,,,,,,,,,,,,
反鏟,反铲,fan3 chan3],backhoe,,,,,,,,,,,,,,,,,
反間,反间,fan3 jian4],to sow dissension,to drive a wedge between (one's enemies),,,,,,,,,,,,,,,,
反間計,反间计,fan3 jian4 ji4],stratagem of sowing dissension,CL:條|条[tiao2],,,,,,,,,,,,,,,,
反間諜,反间谍,fan3 jian4 die2],counterintelligence,protection against espionage,,,,,,,,,,,,,,,,
反電子,反电子,fan3 dian4 zi3],positron,also called 正電子|正电子[zheng4 dian4 zi3],,,,,,,,,,,,,,,,
反面,反面,fan3 mian4],reverse side,backside,the other side (of a problem etc),negative,bad,,,,,,,,,,,,,
反面人物,反面人物,fan3 mian4 ren2 wu4],negative character,bad guy (in a story),,,,,,,,,,,,,,,,
反面兒,反面儿,fan3 mian4 r5],erhua variant of 反面[fan3 mian4],,,,,,,,,,,,,,,,,
反革命,反革命,fan3 ge2 ming4],counterrevolutionary,,,,,,,,,,,,,,,,,
反革命宣傳煽動罪,反革命宣传煽动罪,fan3 ge2 ming4 xuan1 chuan2 shan1 dong4 zui4],the crime of instigating counterrevolutionary propaganda,,,,,,,,,,,,,,,,,
