traditional,simplified,pinyin,translation_1,translation_2,translation_3,translation_4,translation_5,translation_6,translation_7,translation_8,translation_9,translation_10,translation_11,translation_12,translation_13,translation_14,translation_15,translation_16,translation_17,translation_18
醫學院,医学院,yi1 xue2 yuan4],medical school,,,,,,,,,,,,,,,,,
醫官,医官,yi1 guan1],official in charge of medical affairs,respectful title for a doctor,,,,,,,,,,,,,,,,
醫家,医家,yi1 jia1],healer,physician,medical man,doctor (esp. of TCM),,,,,,,,,,,,,,
醫密,医密,yi1 mi4],patient confidentiality (medicine),,,,,,,,,,,,,,,,,
醫師,医师,yi1 shi1],doctor,,,,,,,,,,,,,,,,,
醫德,医德,yi1 de2],medical ethics,,,,,,,,,,,,,,,,,
醫患,医患,yi1 huan4],doctor-patient,,,,,,,,,,,,,,,,,
醫托,医托,yi1 tuo1],hospital scalper,sb who for a profit entices others to obtain medical care,,,,,,,,,,,,,,,,
醫改,医改,yi1 gai3],reform of the medical system,,,,,,,,,,,,,,,,,
醫書,医书,yi1 shu1],medical book,,,,,,,,,,,,,,,,,
醫案,医案,yi1 an4],case history (TCM),case record,,,,,,,,,,,,,,,,
醫治,医治,yi1 zhi4],to treat (an illness),medical treatment,,,,,,,,,,,,,,,,
醫理,医理,yi1 li3],medical knowledge,principles of medical science,,,,,,,,,,,,,,,,
醫生,医生,yi1 sheng1],doctor,CL:個|个[ge4]位[wei4]名[ming2],,,,,,,,,,,,,,,,
醫療,医疗,yi1 liao2],medical treatment,,,,,,,,,,,,,,,,,
醫療保健,医疗保健,yi1 liao2 bao3 jian4],health care,,,,,,,,,,,,,,,,,
醫療保險,医疗保险,yi1 liao2 bao3 xian3],medical insurance,,,,,,,,,,,,,,,,,
醫療器械,医疗器械,yi1 liao2 qi4 xie4],medical equipment,,,,,,,,,,,,,,,,,
醫療疏失,医疗疏失,yi1 liao2 shu1 shi1],medical negligence,medical malpractice,,,,,,,,,,,,,,,,
醫療經驗,医疗经验,yi1 liao2 jing1 yan4],medical expertise,,,,,,,,,,,,,,,,,
醫療護理,医疗护理,yi1 liao2 hu4 li3],health care,,,,,,,,,,,,,,,,,
醫療費,医疗费,yi1 liao2 fei4],medical expenses,,,,,,,,,,,,,,,,,
醫科,医科,yi1 ke1],medicine (as a science),medical science,,,,,,,,,,,,,,,,
醫科大學,医科大学,yi1 ke1 da4 xue2],university of medicine,,,,,,,,,,,,,,,,,
醫科學校,医科学校,yi1 ke1 xue2 xiao4],medical school,,,,,,,,,,,,,,,,,
醫藥,医药,yi1 yao4],medical care and medicines,medicine (drug),medical,pharmaceutical,,,,,,,,,,,,,,
醫藥分離,医药分离,yi1 yao4 fen1 li2],"separating medical consultation from dispensing drugs proposed policy to counteract perceived PRC problem of ""drugs serving to nourish doctors"" 以藥養醫|以药养医[yi3 yao4 yang3 yi1]",,,,,,,,,,,,,,,,,
醫藥商店,医药商店,yi1 yao4 shang1 dian4],chemist,druggist,pharmacy,,,,,,,,,,,,,,,
醫藥學,医药学,yi1 yao4 xue2],medical science,,,,,,,,,,,,,,,,,
醫術,医术,yi1 shu4],medical expertise,art of healing,,,,,,,,,,,,,,,,
醫護,医护,yi1 hu4],doctors and nurses,medic,medical (personnel),,,,,,,,,,,,,,,
醫護人員,医护人员,yi1 hu4 ren2 yuan2],medical personnel,doctors and nurses,,,,,,,,,,,,,,,,
醫道,医道,Yi1 dao4],Hur Jun (TV series),,,,,,,,,,,,,,,,,
醫道,医道,yi1 dao4],art of healing,medical skill,,,,,,,,,,,,,,,,
醫院,医院,yi1 yuan4],hospital,CL:所[suo3]家[jia1]座[zuo4],,,,,,,,,,,,,,,,
醬,酱,jiang4],thick paste of fermented soybean,marinated in soy paste,paste,jam,,,,,,,,,,,,,,
醬料,酱料,jiang4 liao4],sauce,,,,,,,,,,,,,,,,,
醬油,酱油,jiang4 you2],soy sauce,,,,,,,,,,,,,,,,,
醬瓜,酱瓜,jiang4 gua1],pickled cucumber,,,,,,,,,,,,,,,,,
醬紫,酱紫,jiang4 zi3],dark reddish purple,Internet slang abbr. for 這樣子|这样子[zhe4 yang4 zi5],,,,,,,,,,,,,,,,
醭,醭,bu2],mold on liquids,,,,,,,,,,,,,,,,,
醮,醮,jiao4],to perform sacrifice,,,,,,,,,,,,,,,,,
醯,醯,xi1],acyl,,,,,,,,,,,,,,,,,
醰,醰,tan2],bitter taste in wine,rich,full flavored,,,,,,,,,,,,,,,
醱,酦,fa1],see 醱酵|酦酵[fa1 jiao4],,,,,,,,,,,,,,,,,
醱,酦,po1],to ferment alcohol,Taiwan pr. [po4],,,,,,,,,,,,,,,,
醱酵,酦酵,fa1 jiao4],variant of 發酵|发酵[fa1 jiao4],,,,,,,,,,,,,,,,,
醲,醲,nong2],concentrated,strong wine,,,,,,,,,,,,,,,,
醳,醳,yi4],fine wine,to award with (food and drink),,,,,,,,,,,,,,,,
醴,醴,li3],sweet wine,,,,,,,,,,,,,,,,,
醴泉縣,醴泉县,Li3 quan2 xian4],Liquan county in Xianyang 咸陽|咸阳 Shaanxi,also written 禮泉縣|礼泉县,,,,,,,,,,,,,,,,
醴陵,醴陵,Li3 ling2],Liling county level city in Zhuzhou 株洲 Hunan,,,,,,,,,,,,,,,,,
醴陵市,醴陵市,Li3 ling2 shi4],Liling prefecture level city in Zhuzhou 株洲 Hunan,,,,,,,,,,,,,,,,,
醵,醵,ju4],to contribute to a feast,to pool (money),,,,,,,,,,,,,,,,
醸,醸,niang4],Japanese variant of 釀|酿,,,,,,,,,,,,,,,,,
醹,醹,ru2],strong (of wine),,,,,,,,,,,,,,,,,
醺,醺,xun1],helplessly intoxicated,,,,,,,,,,,,,,,,,
醻,酬,chou2],variant of 酬[chou2],,,,,,,,,,,,,,,,,
醼,宴,yan4],variant of 宴[yan4],,,,,,,,,,,,,,,,,
醽,醽,ling2],name of a wine,,,,,,,,,,,,,,,,,
醾,醾,mi2],unfiltered wine,wine brewed twice,,,,,,,,,,,,,,,,
釀,酿,niang4],to ferment,to brew,to make honey (of bees),to lead to,to form gradually,wine,stuffed vegetables (cooking method),,,,,,,,,,,
釀成,酿成,niang4 cheng2],to form gradually,to lead to,,,,,,,,,,,,,,,,
釀母菌,酿母菌,niang4 mu3 jun1],yeast,,,,,,,,,,,,,,,,,
釀熱物,酿热物,niang4 re4 wu4],biological fuel (such as horse dung),,,,,,,,,,,,,,,,,
釀造,酿造,niang4 zao4],to brew,to make (wine vinegar soybean paste etc) by fermentation,,,,,,,,,,,,,,,,
釀造學,酿造学,niang4 zao4 xue2],zymurgy,,,,,,,,,,,,,,,,,
釀酒,酿酒,niang4 jiu3],to brew wine,,,,,,,,,,,,,,,,,
釀酒業,酿酒业,niang4 jiu3 ye4],brewing industry,wine industry,,,,,,,,,,,,,,,,
釀酶,酿酶,niang4 mei2],zymase (enzyme in yeast involved in fermentation),,,,,,,,,,,,,,,,,
釁,衅,xin4],quarrel,dispute,a blood sacrifice (arch.),,,,,,,,,,,,,,,
釁端,衅端,xin4 duan1],pretext for a dispute,,,,,,,,,,,,,,,,,
釁隙,衅隙,xin4 xi4],enmity,,,,,,,,,,,,,,,,,
釂,釂,jiao4],drain a goblet,,,,,,,,,,,,,,,,,
釃,酾,shi1],strain,,,,,,,,,,,,,,,,,
釅,酽,yan4],strong (of tea),,,,,,,,,,,,,,,,,
釆,釆,bian4],old variant of 辨[bian4],,,,,,,,,,,,,,,,,
采,采,cai3],color,complexion,looks,variant of 彩[cai3],variant of 採|采[cai3],,,,,,,,,,,,,
采,采,cai4],allotment to a feudal noble,,,,,,,,,,,,,,,,,
采礦場,采矿场,cai3 kuang4 chang3],mining area,,,,,,,,,,,,,,,,,
采聲,采声,cai3 sheng1],applause,,,,,,,,,,,,,,,,,
釈,釈,shi4],Japanese variant of 釋|释,,,,,,,,,,,,,,,,,
釉,釉,you4],glaze (of porcelain),,,,,,,,,,,,,,,,,
釋,释,shi4],to explain,to release,Buddha (abbr. for 釋迦牟尼|释迦牟尼[Shi4 jia1 mou2 ni2]),Buddhism,,,,,,,,,,,,,,
釋俗,释俗,shi4 su2],to explain in simple terms,,,,,,,,,,,,,,,,,
釋典,释典,shi4 dian3],Buddhist doctrine,sutras,,,,,,,,,,,,,,,,
釋出,释出,shi4 chu1],to release,to make available,to liberate,disengagement,,,,,,,,,,,,,,
釋卷,释卷,shi4 juan4],to stop reading,,,,,,,,,,,,,,,,,
釋名,释名,Shi4 ming2],Shiming late Han dictionary containing 1502 entries using puns on the pronunciation of headwords to explain their meaning,,,,,,,,,,,,,,,,,
釋回,释回,shi4 hui2],to release from custody,,,,,,,,,,,,,,,,,
釋嫌,释嫌,shi4 xian2],to forget bad feelings,to mend a relationship,,,,,,,,,,,,,,,,
釋尊,释尊,Shi4 zun1],another name for Sakyamuni 釋迦牟尼佛|释迦牟尼佛 the historical Buddha,,,,,,,,,,,,,,,,,
釋念,释念,shi4 nian4],(literary) to be reassured,not to worry,,,,,,,,,,,,,,,,
釋懷,释怀,shi4 huai2],to release (tension),relief (from suspense),to dispel (usu. with negative unable to forget),,,,,,,,,,,,,,,
釋手,释手,shi4 shou3],to let go,to loosen one's grip,to put sth down,,,,,,,,,,,,,,,
釋放,释放,shi4 fang4],to release,to set free,to liberate (a prisoner),to discharge,,,,,,,,,,,,,,
釋放出獄,释放出狱,shi4 fang4 chu1 yu4],to release from jail,,,,,,,,,,,,,,,,,
釋教,释教,Shi4 jiao4],Buddhism,,,,,,,,,,,,,,,,,
釋文,释文,shi4 wen2],interpreting words,to explain the meaning of words in classic texts,to decipher an old script,,,,,,,,,,,,,,,
釋然,释然,shi4 ran2],relieved,at ease,feel relieved,,,,,,,,,,,,,,,
釋疑,释疑,shi4 yi2],to dispel doubts,to clear up difficulties,,,,,,,,,,,,,,,,
釋經,释经,shi4 jing1],exegesis,explanation of classic text,,,,,,,,,,,,,,,,
釋義,释义,shi4 yi4],the meaning of sth,an explanation of the meaning of words or phrases,definition,an interpretation (of doctrine),religious doctrine,,,,,,,,,,,,,
釋讀,释读,shi4 du2],to read and interpret ancient texts,to decipher,,,,,,,,,,,,,,,,
釋迦,释迦,shi4 jia1],Sakya (name of a north Indian tribe),abbr. for 釋迦牟尼|释迦牟尼 Sakyamuni Buddha,sugar apple,,,,,,,,,,,,,,,
釋迦佛,释迦佛,shi4 jia1 fo2],Sakyamuni Buddha (Sanskrit: sage of the Sakya),Siddhartha Gautama (563-485 BC) the historical Buddha and founder of Buddhism,,,,,,,,,,,,,,,,
釋迦牟尼,释迦牟尼,Shi4 jia1 mou2 ni2],Siddhartha Gautama (563-485 BC) the historical Buddha and founder of Buddhism,Sakyamuni Buddha (Sanskrit: sage of the Sakya),,,,,,,,,,,,,,,,
釋迦牟尼佛,释迦牟尼佛,Shi4 jia1 mou2 ni2 fo2],Sakyamuni Buddha (Sanskrit: sage of the Sakya),Siddhartha Gautama (563-485 BC) the historical Buddha and founder of Buddhism,,,,,,,,,,,,,,,,
釋除,释除,shi4 chu2],to dispel (doubts),,,,,,,,,,,,,,,,,
里,里,Li3],Li (surname),,,,,,,,,,,,,,,,,
里,里,li3],li ancient measure of length approx. 500 m,neighborhood,ancient administrative unit of 25 families,(Tw) borough administrative unit between the township 鎮|镇[zhen4] and neighborhood 鄰|邻[lin2] levels,,,,,,,,,,,,,,
里人,里人,li3 ren2],person from the same village town or province,peasant (derog.),(of a school of thought etc) follower,,,,,,,,,,,,,,,
里克特,里克特,Li3 ke4 te4],Richter (name),Charles Francis Richter (1900-1985) US physicist and seismologist after whom the Richter scale is named,,,,,,,,,,,,,,,,
里加,里加,Li3 jia1],Riga capital of Latvia,,,,,,,,,,,,,,,,,
里士滿,里士满,Li3 shi4 man3],Richmond (name),,,,,,,,,,,,,,,,,
里奇蒙,里奇蒙,Li3 qi2 meng2],Richmond (place name or surname),,,,,,,,,,,,,,,,,
里奧斯,里奥斯,Li3 ao4 si1],Ríos (name),,,,,,,,,,,,,,,,,
里奧格蘭德,里奥格兰德,li3 ao4 ge2 lan2 de2],Rio Grande (Brasil),,,,,,,,,,,,,,,,,
里巷,里巷,li3 xiang4],lane,alley,,,,,,,,,,,,,,,,
里希特霍芬,里希特霍芬,Li3 xi1 te4 huo4 fen1],Ferdinand von Richthofen (1833-1905) German geologist and explorer who published a major foundational study of the geology of China in 1887 and first introduced the term Silk Road 絲綢之路|丝绸之路,,,,,,,,,,,,,,,,,
里弄,里弄,li3 long4],lanes and alleys,neighborhood,lane neighborhoods in parts of Shanghai with modified Chinese courtyard houses occupied by single families in the 1930s now crowded with multiple families,,,,,,,,,,,,,,,
里弗賽德,里弗赛德,Li3 fu2 sai4 de2],Riverside,,,,,,,,,,,,,,,,,
里拉,里拉,li3 la1],lira (former Italian etc currency) (loanword),,,,,,,,,,,,,,,,,
里斯本,里斯本,Li3 si1 ben3],Lisbon capital of Portugal,,,,,,,,,,,,,,,,,
里昂,里昂,Li3 ang2],Lyon French city on the Rhône,,,,,,,,,,,,,,,,,
里朗威,里朗威,Li3 lang3 wei1],Lilongwe capital of Malawi (Tw),,,,,,,,,,,,,,,,,
里根,里根,Li3 gen1],Reagan (name),Ronald Reagan (1911-2004) US president (1981-1989),,,,,,,,,,,,,,,,
里氏,里氏,Li3 shi4],Richter (scale),,,,,,,,,,,,,,,,,
里氏震級,里氏震级,Li3 shi4 zhen4 ji2],Richter magnitude scale,,,,,,,,,,,,,,,,,
里港,里港,Li3 gang3],Likang township in Pingtung County 屏東縣|屏东县[Ping2 dong1 Xian4] Taiwan,,,,,,,,,,,,,,,,,
里港鄉,里港乡,Li3 gang3 xiang1],Likang township in Pingtung County 屏東縣|屏东县[Ping2 dong1 Xian4] Taiwan,,,,,,,,,,,,,,,,,
里爾,里尔,Li3 er3],Lille (city in France),,,,,,,,,,,,,,,,,
里瓦幾亞條約,里瓦几亚条约,Li3 wa3 ji1 ya4 Tiao2 yue1],Treaty of Livadia (1879) between Russia and China relating to territory in Chinese Turkistan renegotiated in 1881 (Treaty of St. Petersburg),,,,,,,,,,,,,,,,,
里瓦爾多,里瓦尔多,Li3 wa3 er3 duo1],Rivaldo,,,,,,,,,,,,,,,,,
里社,里社,li3 she4],village shrine to the earth god,,,,,,,,,,,,,,,,,
里程,里程,li3 cheng2],mileage (distance traveled),course (of development),,,,,,,,,,,,,,,,
里程碑,里程碑,li3 cheng2 bei1],milestone,,,,,,,,,,,,,,,,,
里程表,里程表,li3 cheng2 biao3],odometer,,,,,,,,,,,,,,,,,
里程計,里程计,li3 cheng2 ji4],speedometer (of a vehicle),,,,,,,,,,,,,,,,,
里約,里约,Li3 yue1],Rio,abbr. for 里約熱內盧|里约热内卢[Li3 yue1 re4 nei4 lu2],,,,,,,,,,,,,,,,
里約,里约,li3 yue1],agreement between the residents of a 里[li3] an administrative district under a city or town (Taiwan),,,,,,,,,,,,,,,,,
里約熱內盧,里约热内卢,Li3 yue1 re4 nei4 lu2],Rio de Janeiro,,,,,,,,,,,,,,,,,
里肌肉,里肌肉,li3 ji1 rou4],loin (of pork),,,,,,,,,,,,,,,,,
里諺,里谚,li3 yan4],common saying,folk proverb,,,,,,,,,,,,,,,,
里賈納,里贾纳,Li3 jia3 na4],Regina city capital of Saskatchewan province Canada,,,,,,,,,,,,,,,,,
里長伯,里长伯,li3 zhang3 bo2],neighborhood warden,,,,,,,,,,,,,,,,,
重,重,chong2],to repeat,repetition,again,re-,classifier: layer,,,,,,,,,,,,,
重,重,zhong4],heavy,serious,to attach importance to,,,,,,,,,,,,,,,
重中之重,重中之重,zhong4 zhong1 zhi1 zhong4],of the utmost importance,of highest priority,,,,,,,,,,,,,,,,
重九,重九,chong2 jiu3],the Double Ninth Festival (9th day of the 9th lunar month),,,,,,,,,,,,,,,,,
重五,重五,chong2 wu3],Dragon Boat Festival (5th day of 5th lunar month),,,,,,,,,,,,,,,,,
重任,重任,zhong4 ren4],heavy responsibility,,,,,,,,,,,,,,,,,
重估,重估,chong2 gu1],revaluation,,,,,,,,,,,,,,,,,
重估後,重估后,chong2 gu1 hou4],after revaluation,,,,,,,,,,,,,,,,,
重來,重来,chong2 lai2],to start over,to do sth all over again,,,,,,,,,,,,,,,,
重修,重修,chong2 xiu1],to reconstruct,to repair,to revamp,to revise,to retake a failed course,,,,,,,,,,,,,
重修舊好,重修旧好,chong2 xiu1 jiu4 hao3],to make friends again,to renew old cordial relations,,,,,,,,,,,,,,,,
重傷,重伤,zhong4 shang1],seriously hurt,serious injury,,,,,,,,,,,,,,,,
重價,重价,zhong4 jia4],high price,,,,,,,,,,,,,,,,,
重元素,重元素,zhong4 yuan2 su4],heavy element (such as uranium),,,,,,,,,,,,,,,,,
重兵,重兵,zhong4 bing1],massive military force,,,,,,,,,,,,,,,,,
重典,重典,zhong4 dian3],important classic text,cruel torture,severe punishment,,,,,,,,,,,,,,,
重判,重判,zhong4 pan4],major punishment (law),,,,,,,,,,,,,,,,,
重利,重利,zhong4 li4],high interest,huge profit,to value money highly,,,,,,,,,,,,,,,
重利輕義,重利轻义,zhong4 li4 qing1 yi4],to value material gain over righteousness,,,,,,,,,,,,,,,,,
重創,重创,zhong4 chuang1],to inflict heavy losses,to inflict serious damage,,,,,,,,,,,,,,,,
重劍,重剑,zhong4 jian4],épée (fencing),,,,,,,,,,,,,,,,,
重力,重力,zhong4 li4],gravity,,,,,,,,,,,,,,,,,
重力場,重力场,zhong4 li4 chang3],gravitational field,,,,,,,,,,,,,,,,,
重力異常,重力异常,zhong4 li4 yi4 chang2],gravitational anomaly (geology),,,,,,,,,,,,,,,,,
重午,重午,chong2 wu3],Dragon Boat Festival (5th day of 5th lunar month),,,,,,,,,,,,,,,,,
重印,重印,chong2 yin4],to reprint,,,,,,,,,,,,,,,,,
重又,重又,chong2 you4],once again,,,,,,,,,,,,,,,,,
重口味,重口味,zhong4 kou3 wei4],(slang) intense,hardcore,,,,,,,,,,,,,,,,
重合,重合,chong2 he2],to match up,to coincide,,,,,,,,,,,,,,,,
重名,重名,zhong4 ming2],renowned,a great name,,,,,,,,,,,,,,,,
重商主義,重商主义,zhong4 shang1 zhu3 yi4],mercantilism,,,,,,,,,,,,,,,,,
重啟,重启,chong2 qi3],to reopen,to restart,,,,,,,,,,,,,,,,
重器,重器,zhong4 qi4],treasure,,,,,,,,,,,,,,,,,
重回,重回,chong2 hui2],to return,,,,,,,,,,,,,,,,,
重圍,重围,chong2 wei2],to redouble a siege,,,,,,,,,,,,,,,,,
重地,重地,zhong4 di4],important place,strategic location,,,,,,,,,,,,,,,,
重型,重型,zhong4 xing2],heavy,heavy duty,large caliber,,,,,,,,,,,,,,,
重塑,重塑,chong2 su4],to reconstruct (an art object),to remodel,,,,,,,,,,,,,,,,
重壓,重压,zhong4 ya1],high pressure,bearing a heavy weight,,,,,,,,,,,,,,,,
重大,重大,zhong4 da4],great,important,major,significant,,,,,,,,,,,,,,
重奏,重奏,chong2 zou4],musical ensemble of several instruments (e.g. duet 二重奏 or trio 三重奏),,,,,,,,,,,,,,,,,
重婚,重婚,chong2 hun1],bigamy,,,,,,,,,,,,,,,,,
重婚罪,重婚罪,chong2 hun1 zui4],bigamy,,,,,,,,,,,,,,,,,
重子,重子,zhong4 zi3],baryon (physics),,,,,,,,,,,,,,,,,
重孝,重孝,zhong4 xiao4],mourning dress,,,,,,,,,,,,,,,,,
重孫,重孙,chong2 sun1],great-grandson,,,,,,,,,,,,,,,,,
重孫女,重孙女,chong2 sun1 nu:3],great-granddaughter,,,,,,,,,,,,,,,,,
重孫子,重孙子,chong2 sun1 zi5],great-grandson,,,,,,,,,,,,,,,,,
重定向,重定向,chong2 ding4 xiang4],to redirect,,,,,,,,,,,,,,,,,
重審,重审,chong2 shen3],to re-investigate,to investigate and reconsider a judgment,,,,,,,,,,,,,,,,
重屋,重屋,chong2 wu1],lit. multiple roof,building of several stories,,,,,,,,,,,,,,,,
重巒疊嶂,重峦叠嶂,chong2 luan2 die2 zhang4],range upon range of mountains (idiom),,,,,,,,,,,,,,,,,
重工,重工,zhong4 gong1],heavy industry,,,,,,,,,,,,,,,,,
重工業,重工业,zhong4 gong1 ye4],heavy industry,manufacturing,,,,,,,,,,,,,,,,
重度,重度,zhong4 du4],serious,severe,,,,,,,,,,,,,,,,
重建,重建,chong2 jian4],to rebuild,to reestablish,reconstruction,rebuilding,,,,,,,,,,,,,,
重彈,重弹,chong2 tan2],to replay string instrument,fig. to harp on the same string,to raise the same old topic again,,,,,,,,,,,,,,,
重形式輕內容,重形式轻内容,zhong4 xing2 shi4 qing1 nei4 rong2],heavy on form light on substance,to stress form at the expense of content,,,,,,,,,,,,,,,,
重影,重影,chong2 ying3],overlapping images,double exposure of photo (e.g. due to fault or motion of camera),double vision,,,,,,,,,,,,,,,
重心,重心,zhong4 xin1],center of gravity,central core,main part,,,,,,,,,,,,,,,
重慶,重庆,Chong2 qing4],Chongqing city (Chungking) formerly in Sichuan province a municipality since 1997 short name 渝[Yu2],,,,,,,,,,,,,,,,,
重慶大學,重庆大学,Chong2 qing4 Da4 xue2],Chongqing University,,,,,,,,,,,,,,,,,
重慶市,重庆市,Chong2 qing4 shi4],Chongqing city formerly in Sichuan province a municipality since 1997 short name 渝[Yu2],,,,,,,,,,,,,,,,,
重慶科技學院,重庆科技学院,Chong2 qing4 Ke1 ji4 Xue2 yuan4],Chongqing Science and Technology University,,,,,,,,,,,,,,,,,
重懲,重惩,zhong4 cheng2],to punish severely,,,,,,,,,,,,,,,,,
重托,重托,zhong4 tuo1],great trust,,,,,,,,,,,,,,,,,
重拾,重拾,chong2 shi2],to pick up (a theme etc),to regain (confidence),to revive (a custom friendship etc),,,,,,,,,,,,,,,
重挫,重挫,zhong4 cuo4],devastating setback,slump (in stock market etc),crushing defeat,to cause a serious setback,to plummet,,,,,,,,,,,,,
重提,重提,chong2 ti2],to raise the same topic,,,,,,,,,,,,,,,,,
重提舊事,重提旧事,chong2 ti2 jiu4 shi4],to raise the same old topic again,to hark back,,,,,,,,,,,,,,,,
重插,重插,chong2 cha1],to replug,to disconnect and reconnect (from a plug port connection etc),,,,,,,,,,,,,,,,
重擊,重击,zhong4 ji1],bang,thump,,,,,,,,,,,,,,,,
重操舊業,重操旧业,chong2 cao1 jiu4 ye4],to resume one's old trade (idiom),,,,,,,,,,,,,,,,,
重擔,重担,zhong4 dan4],heavy burden,difficult task,great responsibility,,,,,,,,,,,,,,,
重整旗鼓,重整旗鼓,chong2 zheng3 qi2 gu3],lit. to reorganize flags and drums (idiom); to regroup after a setback,to prepare for new initiatives,to attempt a comeback,,,,,,,,,,,,,,,
重文,重文,chong2 wen2],repetitious passage,multiple variants of Chinese characters,,,,,,,,,,,,,,,,
重文輕武,重文轻武,zhong4 wen2 qing1 wu3],to value letters and belittle arms (idiom); to stress civil matters and neglect the military,to prefer the pen to the sword,,,,,,,,,,,,,,,,
重新,重新,chong2 xin1],again,once more,re-,,,,,,,,,,,,,,,
重新做人,重新做人,chong2 xin1 zuo4 ren2],to start a new life,to make a fresh start,,,,,,,,,,,,,,,,
重新啟動,重新启动,chong2 xin1 qi3 dong4],to reboot,to restart,,,,,,,,,,,,,,,,
重新審視,重新审视,chong2 xin1 shen3 shi4],a re-examination,to have another look at sth,,,,,,,,,,,,,,,,
重新統一,重新统一,chong2 xin1 tong3 yi1],reunification,,,,,,,,,,,,,,,,,
重新裝修,重新装修,chong2 xin1 zhuang1 xiu1],refurbishment,renovation,,,,,,,,,,,,,,,,
重新評價,重新评价,chong2 xin1 ping2 jia4],a re-evaluation,to re-assess,,,,,,,,,,,,,,,,
重新造林,重新造林,chong2 xin1 zao4 lin2],reforestation,,,,,,,,,,,,,,,,,
重新開始,重新开始,chong2 xin1 kai1 shi3],to resume,to restart,to start afresh,,,,,,,,,,,,,,,
重新開機,重新开机,chong2 xin1 kai1 ji1],to restart,to reboot,,,,,,,,,,,,,,,,
重於泰山,重于泰山,zhong4 yu2 Tai4 Shan1],heavier than Mt Tai (idiom); fig. extremely serious matter,,,,,,,,,,,,,,,,,
重映,重映,chong2 ying4],to reshow (a film),second screening,,,,,,,,,,,,,,,,
重晶石,重晶石,zhong4 jing1 shi2],barite (geology),,,,,,,,,,,,,,,,,
重望,重望,zhong4 wang4],renowned,prestigious,great hopes,expectations,,,,,,,,,,,,,,
重查,重查,chong2 cha2],to investigate again,to reopen a case,,,,,,,,,,,,,,,,
重核,重核,zhong4 he2],heavy nucleus,,,,,,,,,,,,,,,,,
重案,重案,zhong4 an4],major case,serious crime,,,,,,,,,,,,,,,,
重構,重构,chong2 gou4],to reconstruct,reconstruction,(computing) refactoring,,,,,,,,,,,,,,,
重樓,重楼,chong2 lou2],multi-storied building,,,,,,,,,,,,,,,,,
重樣,重样,chong2 yang4],same,similar,same type,,,,,,,,,,,,,,,
重機槍,重机枪,zhong4 ji1 qiang1],heavy machine gun,,,,,,,,,,,,,,,,,
重機關槍,重机关枪,zhong4 ji1 guan1 qiang1],also written 重機槍|重机枪,heavy machine gun,,,,,,,,,,,,,,,,
重正化,重正化,chong2 zheng4 hua4],to renormalize,renormalization,,,,,,,,,,,,,,,,
重武器,重武器,zhong4 wu3 qi4],heavy weapon,,,,,,,,,,,,,,,,,
重歷舊遊,重历旧游,chong2 li4 jiu4 you2],to revisit,to return to a previously visited spot,,,,,,,,,,,,,,,,
重氫,重氢,zhong4 qing1],heavy hydrogen (isotope),deuterium,,,,,,,,,,,,,,,,
重水,重水,zhong4 shui3],heavy water (chemistry),,,,,,,,,,,,,,,,,
重水反應堆,重水反应堆,zhong4 shui3 fan3 ying4 dui1],heavy water reactor (HWR),,,,,,,,,,,,,,,,,
重水生產,重水生产,zhong4 shui3 sheng1 chan3],heavy water production,,,,,,,,,,,,,,,,,
重沓,重沓,chong2 ta4],redundant,to pile up,,,,,,,,,,,,,,,,
重油,重油,zhong4 you2],heavy oil,,,,,,,,,,,,,,,,,
重洋,重洋,chong2 yang2],seas and oceans,,,,,,,,,,,,,,,,,
重活,重活,zhong4 huo2],heavy job,,,,,,,,,,,,,,,,,
重活兒,重活儿,zhong4 huo2 r5],erhua variant of 重活[zhong4 huo2],,,,,,,,,,,,,,,,,
重活化劑,重活化剂,zhong4 huo2 hua4 ji4],reactivator,,,,,,,,,,,,,,,,,
重混,重混,chong2 hun4],remix (music),,,,,,,,,,,,,,,,,
重溫,重温,chong2 wen1],to learn sth over again,to review,to brush up,to revive (memories friendship etc),,,,,,,,,,,,,,
重溫舊夢,重温旧梦,chong2 wen1 jiu4 meng4],to revive old dreams (idiom); to relive past experiences,,,,,,,,,,,,,,,,,
重溫舊業,重温旧业,chong2 wen1 jiu4 ye4],to resume one's old trade (idiom),,,,,,,,,,,,,,,,,
重演,重演,chong2 yan3],a repeat performance,repeat occurrence (e.g. of a disaster),,,,,,,,,,,,,,,,
重災,重灾,zhong4 zai1],severe disaster,,,,,,,,,,,,,,,,,
重災區,重灾区,zhong4 zai1 qu1],area particularly hard-hit by a disaster,disaster area,,,,,,,,,,,,,,,,
重版,重版,chong2 ban3],to republish,,,,,,,,,,,,,,,,,
重物,重物,zhong4 wu4],heavy object,,,,,,,,,,,,,,,,,
重犯,重犯,zhong4 fan4],serious criminal,felon,,,,,,,,,,,,,,,,
重獲,重获,chong2 huo4],recovery,to recover,,,,,,,,,,,,,,,,
重現,重现,chong2 xian4],to reappear,,,,,,,,,,,,,,,,,
重瓣,重瓣,chong2 ban4],double petal,double valve,,,,,,,,,,,,,,,,
重生,重生,chong2 sheng1],rebirth,,,,,,,,,,,,,,,,,
重用,重用,zhong4 yong4],to put in an important position,,,,,,,,,,,,,,,,,
重申,重申,chong2 shen1],to reaffirm,to reiterate,,,,,,,,,,,,,,,,
