1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
得手,得手,de2 shou3],to go smoothly,to come off,to succeed,,,,,,,,,,,,,,,
得救,得救,de2 jiu4],to be saved,,,,,,,,,,,,,,,,,
得文,得文,De2 wen2],Devon (county of southwest England),,,,,,,,,,,,,,,,,
得梅因,得梅因,De2 Mei2 yin1],Des Moines capital of Iowa,,,,,,,,,,,,,,,,,
得榮,得荣,De2 rong2],Dêrong county (Tibetan: sde rong rdzong) in Garze Tibetan autonomous prefecture 甘孜藏族自治州|甘孜藏族自治州[Gan1 zi1 Zang4 zu2 zi4 zhi4 zhou1] Sichuan (formerly in Kham province of Tibet),,,,,,,,,,,,,,,,,
得榮縣,得荣县,De2 rong2 xian4],Dêrong county (Tibetan: sde rong rdzong) in Garze Tibetan autonomous prefecture 甘孜藏族自治州[Gan1 zi1 Zang4 zu2 zi4 zhi4 zhou1] Sichuan (formerly in Kham province of Tibet),,,,,,,,,,,,,,,,,
得標,得标,de2 biao1],to win a bid,to win a trophy in a contest,,,,,,,,,,,,,,,,
得氣,得气,de2 qi4],to obtain qi the sensation of electrical tingling numbness soreness etc at the meridian where accupuncture needle is inserted,,,,,,,,,,,,,,,,,
得法,得法,de2 fa3],(doing sth) in the right way,suitable,properly,,,,,,,,,,,,,,,
得無,得无,de2 wu2],(literary) isn't it that...?,,,,,,,,,,,,,,,,,
得爾塔,得尔塔,dei3 er3 ta3],delta (Greek letter Δδ),,,,,,,,,,,,,,,,,
得獎,得奖,de2 jiang3],to win a prize,,,,,,,,,,,,,,,,,
得瑟,得瑟,de4 se5],(dialect) to be cocky,smug,to show off,,,,,,,,,,,,,,,
得當,得当,de2 dang4],appropriate,suitable,,,,,,,,,,,,,,,,
得病,得病,de2 bing4],to fall ill,to contract a disease,,,,,,,,,,,,,,,,
得益,得益,de2 yi4],to derive benefit,,,,,,,,,,,,,,,,,
得知,得知,de2 zhi1],to find out,to know,to learn about,,,,,,,,,,,,,,,
得票,得票,de2 piao4],vote-getting,,,,,,,,,,,,,,,,,
