1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
播映,播映,bo1 ying4],to broadcast a film,to televise,,,,,,,,,,,,,,,,
播種,播种,bo1 zhong3],to sow seeds,sowing,seed,,,,,,,,,,,,,,,
播講,播讲,bo1 jiang3],to broadcast a lecture a book reading etc,,,,,,,,,,,,,,,,,
播送,播送,bo1 song4],to broadcast,to transmit,to beam,,,,,,,,,,,,,,,
播音,播音,bo1 yin1],to transmit,to broadcast,,,,,,,,,,,,,,,,
播音員,播音员,bo1 yin1 yuan2],announcer,broadcaster,,,,,,,,,,,,,,,,
撮,撮,cuo1],to pick up (a powder etc) with the fingertips,to scoop up,to collect together,to extract,to gather up,classifier: pinch,,,,,,,,,,,,
撮,撮,zuo3],classifier for hair or grass: tuft,,,,,,,,,,,,,,,,,
撮合,撮合,cuo1 he5],to play matchmaker,to act as a middleman,,,,,,,,,,,,,,,,
撰,撰,zhuan4],to compose,to compile,,,,,,,,,,,,,,,,
撰寫,撰写,zhuan4 xie3],to write,to compose,,,,,,,,,,,,,,,,
撰擬,撰拟,zhuan4 ni3],to draft,to draw up,to compose (a plan or document),,,,,,,,,,,,,,,
撰文,撰文,zhuan4 wen2],article (in publication),,,,,,,,,,,,,,,,,
撰稿,撰稿,zhuan4 gao3],to write (an article for publication),,,,,,,,,,,,,,,,,
撰稿人,撰稿人,zhuan4 gao3 ren2],author (of a manuscript),,,,,,,,,,,,,,,,,
撰述,撰述,zhuan4 shu4],to compose (a piece of writing),to write,(written) work,writer,,,,,,,,,,,,,,
撰錄,撰录,zhuan4 lu4],to compile and record,,,,,,,,,,,,,,,,,
撱,撱,tuo3],clip,shorten,throw away,,,,,,,,,,,,,,,
撲,扑,pu1],to throw oneself at,to pounce on,to devote one's energies,to flap,to flutter,to dab,to pat,to bend over,,,,,,,,,,
撲倒,扑倒,pu1 dao3],to fall down,,,,,,,,,,,,,,,,,
撲克,扑克,pu1 ke4],poker (game) (loanword),deck of playing cards,,,,,,,,,,,,,,,,
撲克牌,扑克牌,pu1 ke4 pai2],poker (card game),playing card,CL:副[fu4],,,,,,,,,,,,,,,
撲扇,扑扇,pu1 shan5],to flutter,to flap,,,,,,,,,,,,,,,,
撲打,扑打,pu1 da3],to swat,(of wings) to flap,,,,,,,,,,,,,,,,
撲救,扑救,pu1 jiu4],firefighting,to extinguish a fire and save life and property,to dive (of goalkeeper in soccer),,,,,,,,,,,,,,,
撲朔,扑朔,pu1 shuo4],see 撲朔迷離|扑朔迷离[pu1 shuo4 mi2 li2],,,,,,,,,,,,,,,,,
撲朔迷離,扑朔迷离,pu1 shuo4 mi2 li2],impossible to unravel,confusing,,,,,,,,,,,,,,,,
撲殺,扑杀,pu1 sha1],to kill,to cull,,,,,,,,,,,,,,,,
撲滅,扑灭,pu1 mie4],to eradicate,to extinguish,,,,,,,,,,,,,,,,
撲滿,扑满,pu1 man3],piggy bank,,,,,,,,,,,,,,,,,
撲稜,扑棱,pu1 leng1],(onom.) fluttering or flapping of wings,,,,,,,,,,,,,,,,,
撲稜,扑棱,pu1 leng5],to do sth repeatedly,,,,,,,,,,,,,,,,,
撲空,扑空,pu1 kong1],lit. to rush at thin air,fig. to miss one's aim,to have nothing to show for one's troubles,,,,,,,,,,,,,,,
撲臉兒,扑脸儿,pu1 lian3 r5],strikes you in the face,,,,,,,,,,,,,,,,,
撲落,扑落,pu1 luo4],to fall,to drop,"socket (loanword for ""plug"")",,,,,,,,,,,,,,,
撲跌,扑跌,pu1 die1],to fall flat on one's face,(martial arts) pouncing and falling (i.e. all kinds of moves),,,,,,,,,,,,,,,,
撲通,扑通,pu1 tong1],(onom.) sound of object falling into water,plop,,,,,,,,,,,,,,,,
撲閃,扑闪,pu1 shan3],to wink,to blink,,,,,,,,,,,,,,,,
撲面,扑面,pu1 mian4],lit. sth hits one in the face,directly in one's face,sth assaults the senses,blatant (advertising),eye catching,(a smell) assaults the nostrils,,,,,,,,,,,,
撲面而來,扑面而来,pu1 mian4 er2 lai2],lit. sth hits one in the face,directly in one's face,sth assaults the senses,blatant (advertising),eye catching,(a smell) assaults the nostrils,,,,,,,,,,,,
撲騰,扑腾,pu1 teng5],(onom.) thud,flutter,flop,,,,,,,,,,,,,,,
撲鼻,扑鼻,pu1 bi2],to assail the nostrils (of fragrance and odours),,,,,,,,,,,,,,,,,
撳,揿,qin4],to press (bell),,,,,,,,,,,,,,,,,
撻,挞,ta4],flog,rapid,,,,,,,,,,,,,,,,
撼,撼,han4],to shake,to vibrate,,,,,,,,,,,,,,,,
撼動,撼动,han4 dong4],to shake up,to deal a shock,(fig.) to stir (sb's heart),,,,,,,,,,,,,,,
撼天動地,撼天动地,han4 tian1 dong4 di4],earth-shaking,,,,,,,,,,,,,,,,,
撼樹蚍蜉,撼树蚍蜉,han4 shu4 pi2 fu2],lit. an ant trying to shake a tree,to overrate oneself (idiom),,,,,,,,,,,,,,,,
撾,挝,zhua1],beat,,,,,,,,,,,,,,,,,
撿,捡,jian3],to pick up,to collect,to gather,,,,,,,,,,,,,,,
撿了芝麻丟了西瓜,捡了芝麻丢了西瓜,jian3 le5 zhi1 ma5 diu1 le5 xi1 gua1],to let go of the big prize while grabbing at trifles (idiom),,,,,,,,,,,,,,,,,
撿到籃裡就是菜,捡到篮里就是菜,jian3 dao4 lan2 li3 jiu4 shi4 cai4],all is grist that comes to the mill (idiom),,,,,,,,,,,,,,,,,
擀,擀,gan3],to roll (dough etc),,,,,,,,,,,,,,,,,
擀麵杖,擀面杖,gan3 mian4 zhang4],rolling pin,,,,,,,,,,,,,,,,,
擁,拥,yong1],to hold,to embrace,to wrap around,to gather around (sb),to throng,to swarm,to support,Taiwan pr. [yong3],,,,,,,,,,
擁塞,拥塞,yong1 se4],to be clogged up,to be congested (traffic computer network etc),,,,,,,,,,,,,,,,
擁戴,拥戴,yong1 dai4],to give one's allegiance,(popular) support,,,,,,,,,,,,,,,,
擁抱,拥抱,yong1 bao4],to embrace,to hug,,,,,,,,,,,,,,,,
擁擠,拥挤,yong1 ji3],crowded,to throng,congestion,,,,,,,,,,,,,,,
擁擠不堪,拥挤不堪,yong1 ji3 bu4 kan1],overcrowded,jam-packed,,,,,,,,,,,,,,,,
擁有,拥有,yong1 you3],to have,to possess,,,,,,,,,,,,,,,,
擁有權,拥有权,yong1 you3 quan2],right of ownership,,,,,,,,,,,,,,,,,
擁護,拥护,yong1 hu4],to endorse,to support,,,,,,,,,,,,,,,,
擁護者,拥护者,yong1 hu4 zhe3],supporter (person),,,,,,,,,,,,,,,,,
擁躉,拥趸,yong1 dun3],fan,fanatic,,,,,,,,,,,,,,,,
擂,擂,lei2],beat,to grind,,,,,,,,,,,,,,,,
擂,擂,lei4],to beat (a drum),,,,,,,,,,,,,,,,,
擂臺,擂台,lei4 tai2],elevated stage on which martial competitions or duels were held,arena,ring,,,,,,,,,,,,,,,
擂臺賽,擂台赛,lei4 tai2 sai4],single-elimination open tournament (the winner stays on until he is himself defeated),,,,,,,,,,,,,,,,,
擂鼓鳴金,擂鼓鸣金,lei2 gu3 ming2 jin1],to beat the drum and sound the gong (idiom); fig. to order an advance or retreat,to egg people on or to call them back,,,,,,,,,,,,,,,,
擄,掳,lu3],to capture,to seize,,,,,,,,,,,,,,,,
擄人勒贖,掳人勒赎,lu3 ren2 le4 shu2],kidnapping for ransom,,,,,,,,,,,,,,,,,
擄掠,掳掠,lu3 lu:e4],to loot,to pillage,to sack,,,,,,,,,,,,,,,
擄獲,掳获,lu3 huo4],to capture a prisoner,to take sb captive,,,,,,,,,,,,,,,,
擅,擅,shan4],without authority,to usurp,to arrogate to oneself,to monopolize,expert in,to be good at,,,,,,,,,,,,
擅場,擅场,shan4 chang3],to excel in some field,expert at sth,,,,,,,,,,,,,,,,
擅斷,擅断,shan4 duan4],arbitrary,,,,,,,,,,,,,,,,,
擅權,擅权,shan4 quan2],to arrogate power,,,,,,,,,,,,,,,,,
擅美,擅美,shan4 mei3],to enjoy fame without sharing it,to take the credit,,,,,,,,,,,,,,,,
擅自,擅自,shan4 zi4],without permission,of one's own initiative,,,,,,,,,,,,,,,,
擅長,擅长,shan4 chang2],to be good at,to be expert in,,,,,,,,,,,,,,,,
擅闖,擅闯,shan4 chuang3],to enter without permission,to trespass,,,,,,,,,,,,,,,,
擅離職守,擅离职守,shan4 li2 zhi2 shou3],to abscond,to be absent without leave,,,,,,,,,,,,,,,,
擇,择,ze2],to select,to choose,to pick over,to pick out,to differentiate,to eliminate,also pr. [zhai2],,,,,,,,,,,
擇不開,择不开,zhai2 bu5 kai1],impossible to separate,impossible to disentangle,cannot take time out,,,,,,,,,,,,,,,
擇偶,择偶,ze2 ou3],to choose a spouse,,,,,,,,,,,,,,,,,
擇刺,择刺,zhai2 ci4],to pick out the bones in a fish,,,,,,,,,,,,,,,,,
擇善固執,择善固执,ze2 shan4 gu4 zhi2],to choose what is good and hold fast to it (idiom),,,,,,,,,,,,,,,,,
擇善而從,择善而从,ze2 shan4 er2 cong2],to choose the right course and follow it (idiom),,,,,,,,,,,,,,,,,
擇定,择定,ze2 ding4],to select,,,,,,,,,,,,,,,,,
擇日,择日,ze2 ri4],to fix a date (for an event),to select an auspicious date,,,,,,,,,,,,,,,,
擇日子,择日子,zhai2 ri4 zi5],to pick an auspicious day,,,,,,,,,,,,,,,,,
擇菜,择菜,zhai2 cai4],to pick the edible part of vegetables,,,,,,,,,,,,,,,,,
擇食,择食,ze2 shi2],to be picky (food),,,,,,,,,,,,,,,,,
擉,擉,chuo4],to pierce,to break through,,,,,,,,,,,,,,,,
擊,击,ji1],to hit,to strike,to break,Taiwan pr. [ji2],,,,,,,,,,,,,,
擊中,击中,ji1 zhong4],to hit (a target etc),to strike,,,,,,,,,,,,,,,,
擊倒,击倒,ji1 dao3],to knock down,knocked down,,,,,,,,,,,,,,,,
擊刺,击刺,ji1 ci4],to stab,to hack,,,,,,,,,,,,,,,,
擊劍,击剑,ji1 jian4],fencing (sport),,,,,,,,,,,,,,,,,
擊劍者,击剑者,ji1 jian4 zhe3],fencer (i.e. sportsman involved in fencing),,,,,,,,,,,,,,,,,
擊墜,击坠,ji1 zhui4],to shoot down,,,,,,,,,,,,,,,,,
擊弦貝斯,击弦贝斯,ji1 xian2 bei4 si1],slap bass (bass guitar technique),,,,,,,,,,,,,,,,,
擊弦類,击弦类,ji1 xian2 lei4],hammered string type (of musical instrument),,,,,,,,,,,,,,,,,
擊弦類樂器,击弦类乐器,ji1 xian2 lei4 yue4 qi4],hammered string musical instrument,,,,,,,,,,,,,,,,,
擊打,击打,ji1 da3],to beat,to lash,,,,,,,,,,,,,,,,
擊掌,击掌,ji1 zhang3],to clap one's hands,to clap each other's hands,high five,,,,,,,,,,,,,,,
擊敗,击败,ji1 bai4],to defeat,to beat,,,,,,,,,,,,,,,,
擊斃,击毙,ji1 bi4],to kill,to shoot dead,,,,,,,,,,,,,,,,
擊毀,击毁,ji1 hui3],to attack and destroy,,,,,,,,,,,,,,,,,
擊沉,击沉,ji1 chen2],to attack and sink (a ship),,,,,,,,,,,,,,,,,
擊潰,击溃,ji1 kui4],to defeat,to smash,to rout,,,,,,,,,,,,,,,
擊球,击球,ji1 qiu2],to bat,to hit a ball (sport),,,,,,,,,,,,,,,,
擊球員,击球员,ji1 qiu2 yuan2],lit. striking sportsman,striker (baseball),batsman (cricket),,,,,,,,,,,,,,,
擊碎,击碎,ji1 sui4],to smash to pieces,,,,,,,,,,,,,,,,,
擊缶,击缶,ji2 fou3],to beat time with a percussion instrument made of pottery,,,,,,,,,,,,,,,,,
擊落,击落,ji1 luo4],to shoot down (a plane),,,,,,,,,,,,,,,,,
擊退,击退,ji1 tui4],to beat back,to repel,,,,,,,,,,,,,,,,
擊鼓傳花,击鼓传花,ji1 gu3 chuan2 hua1],beat the drum pass the flower (game in which players sit in a circle passing a flower around while a drum is beaten – when the drumbeat stops the player holding the flower must sing a song answer a question or drink a glass of wine etc),,,,,,,,,,,,,,,,,
擊鼓鳴金,击鼓鸣金,ji1 gu3 ming2 jin1],to beat the drum and sound the gong (idiom); fig. to order an advance or retreat,to egg people on or to call them back,,,,,,,,,,,,,,,,
擋,挡,dang3],to resist,to obstruct,to hinder,to keep off,to block (a blow),to get in the way of,cover,gear (e.g. in a car's transmission),,,,,,,,,,
擋,挡,dang4],to arrange,to put in order,,,,,,,,,,,,,,,,
擋位,挡位,dang3 wei4],gear level (i.e. first gear high gear etc),,,,,,,,,,,,,,,,,
擋住,挡住,dang3 zhu4],to obstruct,,,,,,,,,,,,,,,,,
擋拆,挡拆,dang3 chai1],pick and roll (basketball),screen and roll,,,,,,,,,,,,,,,,
擋泥板,挡泥板,dang3 ni2 ban3],mudguard,,,,,,,,,,,,,,,,,
擋瑯,挡琅,dang3 lang2],(slang) to ask for money,to lend money,,,,,,,,,,,,,,,,
擋箭牌,挡箭牌,dang3 jian4 pai2],shield,(fig.) excuse,,,,,,,,,,,,,,,,
擋路,挡路,dang3 lu4],blocking the way,,,,,,,,,,,,,,,,,
擋郎,挡郎,dang3 lang2],(slang) to ask for money,to lend money,,,,,,,,,,,,,,,,
擋鋃,挡锒,dang3 lang2],(slang) to ask for money,to lend money,,,,,,,,,,,,,,,,
擋雨,挡雨,dang3 yu3],to protect from the rain,,,,,,,,,,,,,,,,,
擋風牆,挡风墙,dang3 feng1 qiang2],lit. windbreak,fig. protector,,,,,,,,,,,,,,,,
擋風玻璃,挡风玻璃,dang3 feng1 bo1 li5],windshield,wind screen,,,,,,,,,,,,,,,,
操,操,cao1],to grasp,to hold,to operate,to manage,to control,to steer,to exercise,to drill (practice),to play,to speak (a language),,,,,,,,
操,操,cao4],variant of 肏[cao4],,,,,,,,,,,,,,,,,
操之過急,操之过急,cao1 zhi1 guo4 ji2],to act with undue haste (idiom); eager and impatient,overhasty,,,,,,,,,,,,,,,,
操作,操作,cao1 zuo4],to work,to operate,to manipulate,,,,,,,,,,,,,,,
操作台,操作台,cao1 zuo4 tai2],operating desk,control panel,console,,,,,,,,,,,,,,,
操作員,操作员,cao1 zuo4 yuan2],operator,,,,,,,,,,,,,,,,,
操作環境,操作环境,cao1 zuo4 huan2 jing4],operating environment,,,,,,,,,,,,,,,,,
操作系統,操作系统,cao1 zuo4 xi4 tong3],operating system,,,,,,,,,,,,,,,,,
操作者,操作者,cao1 zuo4 zhe3],operator,,,,,,,,,,,,,,,,,
操作規程,操作规程,cao1 zuo4 gui1 cheng2],operating rules,work regulations,,,,,,,,,,,,,,,,
操作速率,操作速率,cao1 zuo4 su4 lu:4],operating speed,,,,,,,,,,,,,,,,,
操你媽,操你妈,cao4 ni3 ma1],see 肏你媽|肏你妈[cao4 ni3 ma1],,,,,,,,,,,,,,,,,
操典,操典,cao1 dian3],drill book,,,,,,,,,,,,,,,,,
操刀手,操刀手,cao1 dao1 shou3],person charged with decisive action,hatchet man,,,,,,,,,,,,,,,,
操切,操切,cao1 qie4],rash,hasty,,,,,,,,,,,,,,,,
操勞,操劳,cao1 lao2],to work hard,to look after,,,,,,,,,,,,,,,,
操坪,操坪,cao1 ping2],drill ground,,,,,,,,,,,,,,,,,
操場,操场,cao1 chang3],playground,sports field,drill ground,CL:個|个[ge4],,,,,,,,,,,,,,
操守,操守,cao1 shou3],personal integrity,,,,,,,,,,,,,,,,,
操屄,操屄,cao4 bi1],variant of 肏屄[cao4 bi1],,,,,,,,,,,,,,,,,
操心,操心,cao1 xin1],to worry about,,,,,,,,,,,,,,,,,
操持,操持,cao1 chi5],to manage,to handle,,,,,,,,,,,,,,,,
操控,操控,cao1 kong4],to control,to manipulate,,,,,,,,,,,,,,,,
操斧伐柯,操斧伐柯,cao1 fu3 fa2 ke1],(cf Book of Songs) How to fashion an ax handle? You need an ax,fig. to follow a principle,fig. to act as matchmaker,,,,,,,,,,,,,,,
操法,操法,cao1 fa3],drill rules,,,,,,,,,,,,,,,,,
操演,操演,cao1 yan3],drill,exercise,demonstration,to demonstrate,,,,,,,,,,,,,,
操盤手,操盘手,cao1 pan2 shou3],trader or dealer (of stocks and shares etc),,,,,,,,,,,,,,,,,
操神,操神,cao1 shen2],to worry about,to look after,to take care of,,,,,,,,,,,,,,,
操練,操练,cao1 lian4],drill,practice,,,,,,,,,,,,,,,,
操縱,操纵,cao1 zong4],to operate,to control,to rig,to manipulate,,,,,,,,,,,,,,
操縱桿,操纵杆,cao1 zong4 gan3],joystick,control lever,,,,,,,,,,,,,,,,
操縱自如,操纵自如,cao1 zong4 zi4 ru2],ease of operation,to control smoothly,,,,,,,,,,,,,,,,
操舟,操舟,cao1 zhou1],to steer a boat,,,,,,,,,,,,,,,,,
操航,操航,cao1 hang2],to take the helm,to steer (a ship),,,,,,,,,,,,,,,,
操舵,操舵,cao1 duo4],to steer (a vessel),to hold the rudder,at the helm,,,,,,,,,,,,,,,
操舵室,操舵室,cao1 duo4 shi4],pilothouse,,,,,,,,,,,,,,,,,
操蛋,操蛋,cao4 dan4],variant of 肏蛋[cao4 dan4],,,,,,,,,,,,,,,,,
操行,操行,cao1 xing2],(student's) behavior,,,,,,,,,,,,,,,,,
操觚,操觚,cao1 gu1],to write,to compose,,,,,,,,,,,,,,,,
操課,操课,cao1 ke4],military drill,,,,,,,,,,,,,,,,,
操辦,操办,cao1 ban4],to arrange matters,,,,,,,,,,,,,,,,,
操逼,操逼,cao4 bi1],variant of 肏屄[cao4 bi1],,,,,,,,,,,,,,,,,
擎,擎,qing2],to raise (hand),,,,,,,,,,,,,,,,,
擎拳合掌,擎拳合掌,qing2 quan2 he2 zhang3],to clasp hands,to put one's palms together (in obeisance),,,,,,,,,,,,,,,,
擐,擐,huan4],pass through,to get into (armor),,,,,,,,,,,,,,,,
擒,擒,qin2],to capture,,,,,,,,,,,,,,,,,
擒人節,擒人节,Qin2 ren2 jie2],(jocularly) Valentine's Day referring to the rising number of extramarrital affairs being discovered on that day,,,,,,,,,,,,,,,,,
擒獲,擒获,qin2 huo4],to apprehend,to capture,to seize,,,,,,,,,,,,,,,
擒賊擒王,擒贼擒王,qin2 zei2 qin2 wang2],to defeat the enemy by capturing their chief (idiom),,,,,,,,,,,,,,,,,
擔,担,dan1],to undertake,to carry,to shoulder,to take responsibility,,,,,,,,,,,,,,
擔,担,dan4],picul (100 catties 50 kg),two buckets full,carrying pole and its load,classifier for loads carried on a shoulder pole,,,,,,,,,,,,,,
擔仔麵,担仔面,dan1 zai3 mian4],ta-a noodles or danzai noodles popular snack originating from Tainan,,,,,,,,,,,,,,,,,
擔任,担任,dan1 ren4],to hold a governmental office or post,to assume office of,to take charge of,to serve as,,,,,,,,,,,,,,
擔保,担保,dan1 bao3],to guarantee,to vouch for,,,,,,,,,,,,,,,,
擔子,担子,dan4 zi5],carrying pole and the loads on it,burden,task,responsibility,CL:副[fu4],,,,,,,,,,,,,
擔待,担待,dan1 dai4],to pardon,please excuse (me),to take responsibility,,,,,,,,,,,,,,,
擔心,担心,dan1 xin1],anxious,worried,uneasy,to worry,to be anxious,,,,,,,,,,,,,
擔憂,担忧,dan1 you1],to worry,to be concerned,,,,,,,,,,,,,,,,
擔懮,担懮,dan1 you1],worry,anxiety,,,,,,,,,,,,,,,,
擔承,担承,dan1 cheng2],to undertake,to assume (responsibility etc),,,,,,,,,,,,,,,,
擔擔麵,担担面,dan4 dan4 mian4],Sichuan noodles with a spicy and numbing sauce,,,,,,,,,,,,,,,,,
擔擱,担搁,dan1 ge5],variant of 耽擱|耽搁[dan1 ge5],,,,,,,,,,,,,,,,,
擔架,担架,dan1 jia4],stretcher,litter,bier,,,,,,,,,,,,,,,
擔架兵,担架兵,dan1 jia4 bing1],stretcher bearer (military),,,,,,,,,,,,,,,,,
擔架床,担架床,dan1 jia4 chuang2],stretcher,,,,,,,,,,,,,,,,,
擔架抬,担架抬,dan1 jia4 tai2],stretcher (for the injured),,,,,,,,,,,,,,,,,
擔當,担当,dan1 dang1],to take upon oneself,to assume,,,,,,,,,,,,,,,,
擔荷,担荷,dan1 he4],to shoulder a burden,,,,,,,,,,,,,,,,,
擔誤,担误,dan1 wu5],variant of 耽誤|耽误[dan1 wu5],,,,,,,,,,,,,,,,,
擔負,担负,dan1 fu4],to shoulder,to bear,to undertake,,,,,,,,,,,,,,,
擔驚受怕,担惊受怕,dan1 jing1 shou4 pa4],to feel apprehensive,to be alarmed,,,,,,,,,,,,,,,,
擕,携,xie2],old variant of 攜|携[xie2],,,,,,,,,,,,,,,,,
擖,擖,ge3],scrape,,,,,,,,,,,,,,,,,
擗,擗,pi3],to beat the breast,,,,,,,,,,,,,,,,,
擘,擘,bo4],thumb,to break,to tear,to pierce,to split,,,,,,,,,,,,,
擘劃,擘划,bo4 hua4],to plan,to arrange,,,,,,,,,,,,,,,,
擘畫,擘画,bo4 hua4],variant of 擘劃|擘划[bo4 hua4],,,,,,,,,,,,,,,,,
擘開,擘开,bo4 kai1],to break open,,,,,,,,,,,,,,,,,
據,据,ju4],according to,to act in accordance with,to depend on,to seize,to occupy,,,,,,,,,,,,,
據估計,据估计,ju4 gu1 ji4],according to estimates,,,,,,,,,,,,,,,,,
據信,据信,ju4 xin4],according to belief,it is believed that,,,,,,,,,,,,,,,,
據傳,据传,ju4 chuan2],it is rumored that ...,it is reported that ...,,,,,,,,,,,,,,,,
據報,据报,ju4 bao4],it is reported,according to reports,,,,,,,,,,,,,,,,
據報導,据报导,ju4 bao4 dao3],according to (news) reports,,,,,,,,,,,,,,,,,
據報道,据报道,ju4 bao4 dao4],according to a report,It is reported that...,,,,,,,,,,,,,,,,
據守,据守,ju4 shou3],to guard,to hold a fortified position,entrenched,,,,,,,,,,,,,,,
據守天險,据守天险,ju4 shou3 tian1 xian3],to guard a natural stronghold,,,,,,,,,,,,,,,,,
據實,据实,ju4 shi2],according to the facts,,,,,,,,,,,,,,,,,
據實以告,据实以告,ju4 shi2 yi3 gao4],to report according to the facts,to tell the truth,to tell it like it is,,,,,,,,,,,,,,,
據悉,据悉,ju4 xi1],according to reports,it is reported (that),,,,,,,,,,,,,,,,
據情辦理,据情办理,ju4 qing2 ban4 li3],to handle a situation according to the circumstances (idiom),,,,,,,,,,,,,,,,,
據我所知,据我所知,ju4 wo3 suo3 zhi1],as far as I know,to the best of my knowledge,,,,,,,,,,,,,,,,
據我看,据我看,ju4 wo3 kan4],in my view,in my opinion,from what I can see,,,,,,,,,,,,,,,
據料,据料,ju4 liao4],according to forecasts,it is expected that...,,,,,,,,,,,,,,,,
據有,据有,ju4 you3],to occupy,to hold,to possess,,,,,,,,,,,,,,,
據此,据此,ju4 ci3],according to this,on the ground of the above,(formally introduces reported speech in writing),,,,,,,,,,,,,,,
據為己有,据为己有,ju4 wei2 ji3 you3],to take for one's own,to expropriate,,,,,,,,,,,,,,,,
據理,据理,ju4 li3],according to reason,in principle,,,,,,,,,,,,,,,,
據理力爭,据理力争,ju4 li3 li4 zheng1],to contend on strong grounds,to argue strongly for what is right,,,,,,,,,,,,,,,,
據稱,据称,ju4 cheng1],it is said,allegedly,according to reports,or so they say,,,,,,,,,,,,,,
據統計,据统计,ju4 tong3 ji4],according to statistics,,,,,,,,,,,,,,,,,
據聞,据闻,ju4 wen2],accounts,one's understanding,,,,,,,,,,,,,,,,
據說,据说,ju4 shuo1],it is said that,reportedly,,,,,,,,,,,,,,,,
據險,据险,ju4 xian3],to rely on natural barriers (for one's defense),,,,,,,,,,,,,,,,,
據點,据点,ju4 dian3],stronghold,defended military base,base for operations,strategic point,foothold,(market) presence,,,,,,,,,,,,
擠,挤,ji3],to crowd in,to cram in,to force others aside,to press,to squeeze,to find (time in one's busy schedule),,,,,,,,,,,,
擠上去,挤上去,ji3 shang4 qu5],to squeeze oneself up into (a crowded vehicle etc),,,,,,,,,,,,,,,,,
擠來擠去,挤来挤去,ji3 lai2 ji3 qu4],to mill about,to jostle,,,,,,,,,,,,,,,,
擠兌,挤兑,ji3 dui4],a run on a bank,,,,,,,,,,,,,,,,,
擠入,挤入,ji3 ru4],to squeeze in,to force oneself into,to cram into,to intrude,,,,,,,,,,,,,,
擠出,挤出,ji3 chu1],to squeeze out,to extrude,to drain,to find the time,to burst out,,,,,,,,,,,,,
擠占,挤占,ji3 zhan4],to seize,to push aside and occupy,,,,,,,,,,,,,,,,
擠咕,挤咕,ji3 gu1],to wink at,,,,,,,,,,,,,,,,,
擠垮,挤垮,ji3 kua3],to squash,to crush,to squeeze out of business,to drive out,,,,,,,,,,,,,,
擠壓,挤压,ji3 ya1],to squeeze,to press,to extrude,,,,,,,,,,,,,,,
擠壓出,挤压出,ji3 ya1 chu1],to extrude,,,,,,,,,,,,,,,,,
擠奶,挤奶,ji3 nai3],to milk,,,,,,,,,,,,,,,,,
擠對,挤对,ji3 dui4],(coll.) to mock,to bully,to force (a concession out of sb),,,,,,,,,,,,,,,
擠提,挤提,ji3 ti2],bank run,to crowd into a bank and withdraw all one's money,,,,,,,,,,,,,,,,
擠擠插插,挤挤插插,ji3 ji3 cha1 cha1],crowded tightly,jam-packed,,,,,,,,,,,,,,,,
擠滿,挤满,ji3 man3],crowded to bursting point,filled to overflowing,jam-packed,,,,,,,,,,,,,,,
擠牙膏,挤牙膏,ji3 ya2 gao1],lit. to squeeze out toothpaste,fig. to extract a confession under pressure,,,,,,,,,,,,,,,,
擠眉弄眼,挤眉弄眼,ji3 mei2 nong4 yan3],to make eyes,to wink,,,,,,,,,,,,,,,,
擠眼,挤眼,ji3 yan3],to wink,,,,,,,,,,,,,,,,,
擠緊,挤紧,ji3 jin3],to squeeze,,,,,,,,,,,,,,,,,
擠花,挤花,ji3 hua1],(cookery) to decorate using a piping bag,to extrude something though a piping bag,piping,,,,,,,,,,,,,,,
擠花袋,挤花袋,ji3 hua1 dai4],piping bag (cookery),,,,,,,,,,,,,,,,,
擠落,挤落,ji3 luo4],(coll.) to push aside,,,,,,,,,,,,,,,,,
擠踏,挤踏,ji3 ta4],stampede,,,,,,,,,,,,,,,,,
擠軋,挤轧,ji3 ya4],to bump and shove,,,,,,,,,,,,,,,,,
擠進,挤进,ji3 jin4],to break into,to force one's way into,to barge into,,,,,,,,,,,,,,,
擠過,挤过,ji3 guo4],to squeeze through,to force one's way through,,,,,,,,,,,,,,,,
擡,擡,tai2],variant of 抬[tai2],,,,,,,,,,,,,,,,,
擢,擢,zhuo2],to pull out,to select,to promote,,,,,,,,,,,,,,,
擢升,擢升,zhuo2 sheng1],to promote (sb),to upgrade,to ascend,,,,,,,,,,,,,,,
擢第,擢第,zhuo2 di4],to pass the civil service examination (in imperial China),,,,,,,,,,,,,,,,,
擢髮難數,擢发难数,zhuo2 fa4 nan2 shu3],lit. as difficult to count as hair pulled from sb's head (idiom),fig. innumerable (crimes),,,,,,,,,,,,,,,,
擣,擣,dao3],stir,to pound,,,,,,,,,,,,,,,,
擤,擤,xing3],to blow one's nose,,,,,,,,,,,,,,,,,
擤鼻涕,擤鼻涕,xing3 bi2 ti4],to blow one's nose,,,,,,,,,,,,,,,,,
擥,擥,lan3],variant of 攬|揽[lan3],,,,,,,,,,,,,,,,,
擦,擦,ca1],to wipe,to erase,rubbing (brush stroke in painting),to clean,to polish,,,,,,,,,,,,,
擦乾,擦干,ca1 gan1],to wipe dry,,,,,,,,,,,,,,,,,
擦亮,擦亮,ca1 liang4],to polish,,,,,,,,,,,,,,,,,
擦亮眼睛,擦亮眼睛,ca1 liang4 yan3 jing1],to keep one's eyes open (idiom),to be on one's guard,to be clear-eyed,,,,,,,,,,,,,,,
擦傷,擦伤,ca1 shang1],to abrade,to scrape,to chafe,to graze,abrasion,friction burn,scratch,,,,,,,,,,,
擦子,擦子,ca1 zi5],eraser,(kitchen) grater,shredder,,,,,,,,,,,,,,,
